method,task,variant,margin,seed,mode,ck,ver_blocks,ver_eps,ver_hv,ver_rate,ver_ret,ver_soft,jc,csr25
FDPI,cc1,fdpi,n/a,s1,final,995001,3,312,16,0.05128205128205128,13.901673246904274,0.0,2.801282051282051,0.9711538461538461
FDPI,cc1,fdpi,n/a,s2,final,995001,3,312,84,0.2692307692307692,13.6887525512358,0.0,6.137820512820514,0.9006410256410255
FDPI,cc1,fdpi,n/a,s3,final,995001,1,104,0,0.0,15.011328156189737,0.0,0.0,1.0
FDPI,cg1,fdpi,n/a,s1,final,995001,3,312,8,0.02564102564102564,33.80711264661625,0.10897435897435898,0.10897435897435898,1.0
FDPI,cg1,fdpi,n/a,s2,final,995001,3,312,5,0.016025641025641024,33.53438389330798,0.08333333333333333,0.08333333333333333,1.0
FDPI,cg1,fdpi,n/a,s3,final,995001,3,312,8,0.02564102564102564,34.1591354542933,0.08333333333333333,0.08333333333333333,1.0
FDPI,cp1,fdpi,n/a,s1,final,995001,3,312,3,0.009615384615384616,19.078585267841778,0.038461538461538464,0.038461538461538464,1.0
FDPI,cp1,fdpi,n/a,s2,final,995001,3,312,5,0.016025641025641024,17.614826837259482,4.625,4.625,0.9903846153846154
FDPI,cp1,fdpi,n/a,s3,final,995001,3,312,4,0.01282051282051282,19.455748774776968,0.1923076923076923,0.1923076923076923,0.9967948717948718
FDPI,pc1,fdpi,n/a,s1,final,995001,3,312,111,0.3557692307692308,35.16765030147871,0.0,11.423076923076925,0.7756410256410255
FDPI,pc1,fdpi,n/a,s2,final,995001,3,312,119,0.3814102564102564,34.59502268471048,0.0,4.589743589743589,0.9615384615384616
FDPI,pc1,fdpi,n/a,s3,final,995001,1,104,68,0.6538461538461539,35.29437560868389,0.0,8.009615384615385,1.0
FDPI,pg1,fdpi,n/a,s1,final,995001,3,312,8,0.02564102564102564,26.385210576985013,0.2532051282051282,0.2532051282051282,1.0
FDPI,pg1,fdpi,n/a,s2,final,995001,3,312,5,0.016025641025641024,26.395613253661377,0.10256410256410257,0.10256410256410257,1.0
FDPI,pg1,fdpi,n/a,s3,final,995001,3,312,4,0.01282051282051282,26.22481877963899,0.16025641025641027,0.16025641025641027,1.0
FDPI,pp1,fdpi,n/a,s1,final,995001,3,312,5,0.016025641025641024,16.86969623068352,0.24358974358974358,0.24358974358974358,0.9967948717948718
FDPI,pp1,fdpi,n/a,s2,final,995001,3,312,7,0.022435897435897436,19.543403260179073,0.4487179487179487,0.4487179487179487,0.9903846153846154
FDPI,pp1,fdpi,n/a,s3,final,995001,3,312,8,0.02564102564102564,20.65908897039495,0.30128205128205127,0.30128205128205127,1.0
SAC-Lag,cc1,lag,lagr,s1,final,995002,3,312,0,0.0,0.06747131934418109,0.0,0.0,1.0
SAC-Lag,cc1,lag,lagr,s2,final,995002,3,312,1,0.003205128205128205,0.3435356021375522,0.0,0.016025641025641028,1.0
SAC-Lag,cc1,lag,lagr,s3,final,995002,3,312,0,0.0,1.0183128925168559,0.0,0.0,1.0
SAC-Lag,cg1,lag,lagr,s1,final,995002,3,312,3,0.009615384615384616,31.833128345552836,0.1185897435897436,0.1185897435897436,0.9967948717948718
SAC-Lag,cg1,lag,lagr,s2,final,995002,3,312,3,0.009615384615384616,32.15910972553511,0.035256410256410256,0.035256410256410256,1.0
SAC-Lag,cg1,lag,lagr,s3,final,995002,3,312,7,0.022435897435897436,33.86331480050186,0.15064102564102563,0.15064102564102563,1.0
SAC-Lag,cp1,lag,lagr,s1,final,995002,3,312,4,0.01282051282051282,13.34770222483892,0.4294871794871795,0.4294871794871795,0.9967948717948718
SAC-Lag,cp1,lag,lagr,s2,final,995002,3,312,6,0.019230769230769232,8.833272279235876,2.355769230769231,2.355769230769231,0.9903846153846154
SAC-Lag,cp1,lag,lagr,s3,final,995002,3,312,4,0.01282051282051282,14.622042679872171,0.13141025641025642,0.13141025641025642,0.9967948717948718
SAC-Lag,pc1,lag,lagr,s1,final,995002,3,312,0,0.0,0.38170659486624064,0.0,0.0,1.0
SAC-Lag,pc1,lag,lagr,s2,final,995002,3,312,0,0.0,14.72037793101597,0.0,0.0,1.0
SAC-Lag,pc1,lag,lagr,s3,final,995002,3,312,2,0.00641025641025641,0.900469233787109,0.0,2.3108974358974357,0.9935897435897436
SAC-Lag,pg1,lag,lagr,s1,final,995002,3,312,0,0.0,1.6923156112946698,0.0,0.0,1.0
SAC-Lag,pg1,lag,lagr,s2,final,995002,3,312,0,0.0,0.8663682345733769,0.0,0.0,1.0
SAC-Lag,pg1,lag,lagr,s3,final,995002,3,312,1,0.003205128205128205,1.2037408433487968,0.12179487179487179,0.12179487179487179,0.9967948717948718
SAC-Lag,pp1,lag,lagr,s1,final,995002,3,312,0,0.0,0.1650337833320405,0.0,0.0,1.0
SAC-Lag,pp1,lag,lagr,s2,final,995002,3,312,0,0.0,0.3512553665215758,0.0,0.0,1.0
SAC-Lag,pp1,lag,lagr,s3,final,995002,3,312,0,0.0,2.181144538983653,0.0,0.0,1.0
SAC-Pen,cc1,pen5,coef5,s1,final,995002,3,312,0,0.0,0.05519424026527647,0.0,0.0,1.0
SAC-Pen,cc1,pen5,coef5,s2,final,995002,3,312,1,0.003205128205128205,0.33645547709927587,0.0,1.3942307692307692,0.9967948717948718
SAC-Pen,cc1,pen5,coef5,s3,final,995002,3,312,1,0.003205128205128205,4.092672539912642,0.0,0.05448717948717949,1.0
SAC-Pen,cg1,pen5,coef5,s1,final,995002,3,312,4,0.01282051282051282,27.08993143805098,0.08333333333333333,0.08333333333333333,1.0
SAC-Pen,cg1,pen5,coef5,s1,select,995002,2,208,3,0.014423076923076924,27.300408721749818,0.04807692307692308,0.04807692307692308,1.0
SAC-Pen,cg1,pen5,coef5,s2,final,995002,3,312,0,0.0,30.2585049084331,0.0,0.0,1.0
SAC-Pen,cg1,pen5,coef5,s3,final,995002,3,312,5,0.016025641025641024,28.194595135481944,0.08974358974358974,0.08974358974358974,1.0
SAC-Pen,cp1,pen5,coef5,s1,final,995002,3,312,2,0.00641025641025641,8.28803905485716,0.13141025641025642,0.13141025641025642,0.9967948717948718
SAC-Pen,cp1,pen5,coef5,s2,final,995002,3,312,0,0.0,6.719070327079905,0.0,0.0,1.0
SAC-Pen,cp1,pen5,coef5,s3,final,995002,3,312,3,0.009615384615384616,8.723016298245462,0.1185897435897436,0.1185897435897436,1.0
SAC-Pen,pc1,pen5,coef5,s1,final,995002,3,312,0,0.0,19.281965933248355,0.0,0.0,1.0
SAC-Pen,pc1,pen5,coef5,s2,final,995002,3,312,0,0.0,24.4607755567683,0.0,0.0,1.0
SAC-Pen,pc1,pen5,coef5,s3,final,995002,3,312,0,0.0,18.475886553608547,0.0,0.0,1.0
SAC-Pen,pg1,pen5,coef5,s1,final,995002,3,312,1,0.003205128205128205,2.9211845635269245,0.012820512820512822,0.012820512820512822,1.0
SAC-Pen,pg1,pen5,coef5,s1,select,995002,2,208,1,0.004807692307692308,2.825214105848587,0.019230769230769232,0.019230769230769232,1.0
SAC-Pen,pg1,pen5,coef5,s2,final,995002,3,312,11,0.035256410256410256,3.2097886984082193,0.32371794871794873,0.32371794871794873,1.0
SAC-Pen,pg1,pen5,coef5,s3,final,995002,3,312,0,0.0,5.348230640285448,0.0,0.0,1.0
SAC-Pen,pp1,pen5,coef5,s1,final,995002,3,312,1,0.003205128205128205,1.3885680445400246,0.04487179487179487,0.04487179487179487,1.0
SAC-Pen,pp1,pen5,coef5,s2,final,995002,3,312,2,0.00641025641025641,2.2287690379928615,0.1346153846153846,0.1346153846153846,1.0
SAC-Pen,pp1,pen5,coef5,s2,select,995002,2,208,1,0.004807692307692308,2.0640074322638364,0.11057692307692307,0.11057692307692307,1.0
SAC-Pen,pp1,pen5,coef5,s3,final,995002,3,312,10,0.03205128205128205,3.796199317774868,0.4551282051282051,0.4551282051282051,1.0
SAC-Pen,pp1,pen5,coef5,s3,select,995002,2,208,6,0.028846153846153848,3.6431989015963167,0.42788461538461536,0.42788461538461536,1.0
SafeOT-typed,cg1,v1b,none,s1,final,995002,3,312,3,0.009615384615384616,33.75282912536921,0.05128205128205129,0.05128205128205129,1.0
SafeOT-typed,cg1,v1b,none,s2,final,995002,3,312,6,0.019230769230769232,33.60141702462811,0.041666666666666664,0.041666666666666664,1.0
SafeOT-typed,cg1,v1b,none,s2,select,995002,2,208,5,0.02403846153846154,33.31160931162019,0.057692307692307696,0.057692307692307696,1.0
SafeOT-typed,cg1,v1b,none,s3,final,995002,3,312,3,0.009615384615384616,33.88331853582526,0.03205128205128205,0.03205128205128205,1.0
SafeOT-typed,cg1,v1b,none,s3,select,995002,2,208,1,0.004807692307692308,33.5652206810722,0.014423076923076924,0.014423076923076924,1.0
SafeOT-typed,cp1,v1b,none,s1,final,995002,3,312,4,0.01282051282051282,18.49960034846406,2.53525641025641,2.53525641025641,0.9967948717948718
SafeOT-typed,cp1,v1b,none,s2,final,995002,3,312,7,0.022435897435897436,18.36520874457894,0.5801282051282052,0.5801282051282052,0.9967948717948718
SafeOT-typed,cp1,v1b,none,s3,final,995002,3,312,4,0.01282051282051282,19.093845435741425,2.641025641025641,2.641025641025641,0.9967948717948718
SafeOT-typed,pg1,v1b,none,s1,final,995002,3,312,13,0.041666666666666664,26.218746678406205,0.3653846153846154,0.3653846153846154,0.9967948717948718
SafeOT-typed,pg1,v1b,none,s1,select,995002,2,208,8,0.038461538461538464,26.107818781491048,0.3798076923076923,0.3798076923076923,0.9951923076923077
SafeOT-typed,pg1,v1b,none,s2,final,995002,3,312,6,0.019230769230769232,25.91649976311757,0.2403846153846154,0.2403846153846154,0.9967948717948718
SafeOT-typed,pg1,v1b,none,s2,select,995002,2,208,4,0.019230769230769232,25.80579809019553,0.2932692307692307,0.2932692307692307,0.9951923076923077
SafeOT-typed,pg1,v1b,none,s3,final,995002,3,312,8,0.02564102564102564,26.321146384683356,0.23076923076923075,0.23076923076923075,1.0
SafeOT-typed,pg1,v1b,none,s3,select,995002,2,208,5,0.02403846153846154,26.307833159179175,0.2548076923076923,0.2548076923076923,1.0
SafeOT-typed,pp1,v1b,none,s1,final,995002,3,312,10,0.03205128205128205,18.026571099197508,0.3301282051282051,0.3301282051282051,1.0
SafeOT-typed,pp1,v1b,none,s2,final,995002,3,312,4,0.01282051282051282,18.845020825427408,0.125,0.125,1.0
SafeOT-typed,pp1,v1b,none,s2,select,995002,2,208,2,0.009615384615384616,18.033149423900365,0.13942307692307693,0.13942307692307693,1.0
SafeOT-typed,pp1,v1b,none,s3,final,995002,3,312,6,0.019230769230769232,20.200802924674964,0.14102564102564102,0.14102564102564102,1.0
SafeOT-typed,cg1,v1c,0.80,s1,final,995002,3,312,0,0.0,9.358473952317956,0.0,0.0,1.0
SafeOT-typed,cg1,v1c,0.80,s1,select,995002,2,208,0,0.0,9.5509716771321,0.0,0.0,1.0
SafeOT-typed,cg1,v1c,0.80,s2,final,995002,3,312,0,0.0,7.644584906341781,0.0,0.0,1.0
SafeOT-typed,cg1,v1c,0.80,s3,final,995002,3,312,0,0.0,9.160831631991472,0.0,0.0,1.0
SafeOT-typed,cp1,v1c,0.80,s1,final,995002,3,312,0,0.0,10.362172022874157,0.0,0.0,1.0
SafeOT-typed,cp1,v1c,0.80,s2,final,995002,3,312,0,0.0,7.253000933419362,0.0,0.0,1.0
SafeOT-typed,cp1,v1c,0.80,s2,select,995002,2,208,0,0.0,7.142013637289892,0.0,0.0,1.0
SafeOT-typed,cp1,v1c,0.80,s3,final,995002,3,312,0,0.0,10.563850511717893,0.0,0.0,1.0
SafeOT-typed,pg1,v1c,0.80,s1,final,995002,3,312,0,0.0,6.485548476967128,0.0,0.0,1.0
SafeOT-typed,pg1,v1c,0.80,s2,final,995002,3,312,0,0.0,5.280686924017078,0.0,0.0,1.0
SafeOT-typed,pg1,v1c,0.80,s2,select,995002,2,208,0,0.0,5.099980107328582,0.0,0.0,1.0
SafeOT-typed,pg1,v1c,0.80,s3,final,995002,3,312,0,0.0,4.859469598633215,0.0,0.0,1.0
SafeOT-typed,pg1,v1c,0.80,s3,select,995002,2,208,0,0.0,4.706167765339677,0.0,0.0,1.0
SafeOT-typed,pp1,v1c,0.80,s1,final,995002,3,312,0,0.0,1.2150510440671358,0.0,0.0,1.0
SafeOT-typed,pp1,v1c,0.80,s2,final,995002,3,312,0,0.0,4.841004025797091,0.0,0.0,1.0
SafeOT-typed,pp1,v1c,0.80,s3,final,995002,3,312,0,0.0,4.9153223563847215,0.0,0.0,1.0
SafeOT-typed,cg1,v1e8,0.80g,s1,final,995002,3,312,0,0.0,20.76965335739577,0.0,0.0,1.0
SafeOT-typed,cg1,v1e8,0.80g,s1,select,995002,2,208,0,0.0,21.44642655898528,0.0,0.0,1.0
SafeOT-typed,cg1,v1e8,0.80g,s2,final,995002,3,312,0,0.0,20.560655088439304,0.0,0.0,1.0
SafeOT-typed,cg1,v1e8,0.80g,s2,select,995002,2,208,0,0.0,20.9750702010856,0.0,0.0,1.0
SafeOT-typed,cg1,v1e8,0.80g,s3,final,995002,3,312,0,0.0,19.830571111764474,0.0,0.0,1.0
SafeOT-typed,cg1,v1e8,0.80g,s3,select,995002,2,208,0,0.0,20.152247704686477,0.0,0.0,1.0
SafeOT-typed,cp1,v1e8,0.80g,s1,final,995002,3,312,0,0.0,12.941976545150888,0.0,0.0,1.0
SafeOT-typed,cp1,v1e8,0.80g,s2,final,995002,3,312,0,0.0,11.788553862121248,0.0,0.0,1.0
SafeOT-typed,cp1,v1e8,0.80g,s2,select,995002,2,208,0,0.0,11.64636102661162,0.0,0.0,1.0
SafeOT-typed,cp1,v1e8,0.80g,s3,final,995002,3,312,0,0.0,13.261751640577268,0.0,0.0,1.0
SafeOT-typed,pg1,v1e8,0.80g,s1,final,995002,3,312,0,0.0,16.60726663654701,0.0,0.0,1.0
SafeOT-typed,pg1,v1e8,0.80g,s1,select,995002,2,208,0,0.0,16.719418975343306,0.0,0.0,1.0
SafeOT-typed,pg1,v1e8,0.80g,s2,final,995002,3,312,0,0.0,19.6315293411608,0.0,0.0,1.0
SafeOT-typed,pg1,v1e8,0.80g,s2,select,995002,2,208,0,0.0,19.66909788518163,0.0,0.0,1.0
SafeOT-typed,pg1,v1e8,0.80g,s3,final,995002,3,312,1,0.003205128205128205,19.259656271867673,0.28205128205128205,0.28205128205128205,0.9967948717948718
SafeOT-typed,pg1,v1e8,0.80g,s3,select,995002,2,208,1,0.004807692307692308,19.377409787880843,0.4230769230769231,0.4230769230769231,0.9951923076923077
SafeOT-typed,pp1,v1e8,0.80g,s1,final,995002,3,312,0,0.0,10.980621704205069,0.0,0.0,1.0
SafeOT-typed,pp1,v1e8,0.80g,s2,final,995002,3,312,0,0.0,10.652012666349588,0.0,0.0,1.0
SafeOT-typed,pp1,v1e8,0.80g,s3,final,995002,3,312,0,0.0,15.40287519075317,0.0,0.0,1.0
