job,env,seed,arm,reward,counterfactual_shaped_eval_reward,success,joint,cost,event,excess,steps,eval_episodes,exit_code,worker_seconds,effective_updates,selected_old,command
development_DiagReachK2_s180_A_excess,DiagReachK2,180,A_excess,9.265220747715256,9.26371533736879,1.0,0.9711538461538461,"[5.723639263556554, 5.488320035812182]","[0.028846153846153848, 0.0]","[0.0003010824195340153, 0.0]",12000,312,0,26.57876491546631,5,19,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s180_A_excess/job.json""]"
development_DiagReachK2_s180_A_mean,DiagReachK2,180,A_mean,9.265220747715256,9.26371533736879,1.0,0.9711538461538461,"[5.723639263556554, 5.488320035812182]","[0.028846153846153848, 0.0]","[0.0003010824195340153, 0.0]",12000,312,0,26.251713037490845,5,20,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s180_A_mean/job.json""]"
development_DiagReachK2_s180_B_excess,DiagReachK2,180,B_excess,9.258066771362902,9.258066771362902,1.0,1.0,"[5.133363372240311, 5.643973929759784]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,26.262924432754517,5,19,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s180_B_excess/job.json""]"
development_DiagReachK2_s180_B_mean,DiagReachK2,180,B_mean,9.289232710999503,9.275218274207779,1.0,0.7660256410256411,"[5.89945106781446, 5.189422748027703]","[0.23397435897435898, 0.0]","[0.002802888807068521, 0.0]",12000,312,0,29.679621696472168,5,19,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s180_B_mean/job.json""]"
development_DiagReachK2_s186_A_excess,DiagReachK2,186,A_excess,9.125153322275388,9.125153322275388,1.0,1.0,"[5.50187147122163, 5.271015404126583]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,25.173966646194458,8,16,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s186_A_excess/job.json""]"
development_DiagReachK2_s186_A_mean,DiagReachK2,186,A_mean,9.309244137694277,9.300456130199674,1.0,0.8108974358974359,"[5.884089075602018, 5.330574446763748]","[0.1891025641025641, 0.0]","[0.0017576029158046108, 0.0]",12000,312,0,36.133951902389526,6,19,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s186_A_mean/job.json""]"
development_DiagReachK2_s186_B_excess,DiagReachK2,186,B_excess,9.302514538328923,9.302514538328923,1.0,1.0,"[5.376417558926803, 5.387055586545896]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,25.855961799621582,10,14,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s186_B_excess/job.json""]"
development_DiagReachK2_s186_B_mean,DiagReachK2,186,B_mean,9.400065356870096,9.400065356870096,1.0,1.0,"[5.500017904318296, 5.737635309879597]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,30.641872882843018,12,12,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s186_B_mean/job.json""]"
development_DiagReachK2_s187_A_excess,DiagReachK2,187,A_excess,9.191479323306181,9.191479323306181,1.0,1.0,"[5.322217641732632, 5.48865771599305]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,26.327627658843994,4,19,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s187_A_excess/job.json""]"
development_DiagReachK2_s187_A_mean,DiagReachK2,187,A_mean,9.359571855275245,9.342215067809288,1.0,0.6987179487179487,"[5.54962284442706, 5.926726005016229]","[0.00641025641025641, 0.2980769230769231]","[5.060994726979811e-05, 0.0033374614695198535]",12000,312,0,29.09149146080017,4,20,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s187_A_mean/job.json""]"
development_DiagReachK2_s187_B_excess,DiagReachK2,187,B_excess,9.085808356854418,9.085808356854418,1.0,1.0,"[5.333712535026746, 5.4189971058796615]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,40.73148155212402,6,19,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s187_B_excess/job.json""]"
development_DiagReachK2_s187_B_mean,DiagReachK2,187,B_mean,9.087270852472956,9.087270852472956,1.0,1.0,"[4.715486413393265, 5.363993157178927]","[0.0, 0.0]","[0.0, 0.0]",12000,312,0,28.964401960372925,2,22,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK2_s187_B_mean/job.json""]"
development_DiagReachK3_s180_A_excess,DiagReachK3,180,A_excess,9.41557079148449,9.41557079148449,1.0,1.0,"[5.971569490738404, 6.050269131477062, 10.942883986693163]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",12000,312,0,32.27371621131897,9,16,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK3_s180_A_excess/job.json""]"
development_DiagReachK3_s180_A_mean,DiagReachK3,180,A_mean,9.61037965195581,9.579004515702454,1.0,0.5737179487179487,"[6.072295642816103, 6.480786418303465, 11.447048978927809]","[0.0, 0.42628205128205127, 0.0]","[0.0, 0.005353517551158778, 0.0]",12000,312,0,31.14368510246277,10,15,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK3_s180_A_mean/job.json""]"
development_DiagReachK3_s180_B_excess,DiagReachK3,180,B_excess,9.58591162553945,9.58591162553945,1.0,1.0,"[6.642556499212216, 5.837701782202109, 11.408811474457766]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",12000,312,0,31.913158655166626,9,14,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK3_s180_B_excess/job.json""]"
development_DiagReachK3_s180_B_mean,DiagReachK3,180,B_mean,9.58591162553945,9.58591162553945,1.0,1.0,"[6.642556499212216, 5.837701782202109, 11.408811474457766]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",12000,312,0,32.31176495552063,9,14,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK3_s180_B_mean/job.json""]"
development_DiagReachK3_s186_A_excess,DiagReachK3,186,A_excess,9.43955193051146,9.438839622529505,1.0,0.9807692307692307,"[6.708298362218416, 5.995989992068364, 11.679156923905397]","[0.019230769230769232, 0.0, 0.0]","[0.00014246186930617945, 0.0, 0.0]",12000,312,0,31.13713788986206,4,20,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK3_s186_A_excess/job.json""]"
development_DiagReachK3_s186_A_mean,DiagReachK3,186,A_mean,9.388935584708143,9.388935584708143,1.0,1.0,"[6.430996959026043, 6.097764132878719, 11.444425225257874]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",12000,312,0,36.2264187335968,8,17,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/candidate_risk_factorial/v1/jobs/development_DiagReachK3_s186_A_mean/job.json""]"
