env,seed,cycle,anchor,candidate,Gtrain,Gsample,Gdet,Gsample_raw,Gdet_raw,Gsample_penalty,Gdet_penalty,optimism_sample,optimism_sample_lo,optimism_sample_hi,Ghold_common_timeLOO,hold_contribution_std,sample_contribution_std
DiagReachK2,180,6,1,timeKL,3.543196540444337,0.4427171172030739,-0.653189694588764,-0.3428221541068978,-0.653189694588764,-0.7855392713099718,0.0,3.100479423241263,2.7499218326751276,3.404331990299931,0.8606705058247781,3.228210199070299,1.2836674653105717
DiagReachK2,180,6,1,timeW2,3.468405166541978,0.4355777046587266,-0.631820230870471,-0.33570297146775363,-0.631820230870471,-0.7712806761264801,0.0,3.032827461883252,2.6888299499747905,3.331159099980731,0.8385761300233711,3.147176436009773,1.2552496994412283
DiagReachK2,180,6,1,cfKL,3.394183037879992,0.48689051866590505,-0.4676696309643374,-0.26846567299157853,-0.4676696309643374,-0.7553561916574836,0.0,2.907292519214087,2.56653886301588,3.1997421401638184,0.8618358586445815,3.1947344296781433,1.2652687015732533
DiagReachK2,180,6,1,cfW2,3.2563706397239587,0.4731347995477791,-0.456251064794742,-0.2638037291687851,-0.456251064794742,-0.7369385287165642,0.0,2.7832358401761796,2.4537894458609006,3.065756898585112,0.8221738920787467,3.0317915632616423,1.215966225138034
DiagReachK2,180,18,3,timeKL,2.4743805070407583,0.10728109125948301,-0.07556083004310477,0.049204760798874966,-0.054725290717033026,-0.058076330460608006,0.02083553932607174,2.3670994157812753,2.181915770999059,2.5241071589161,0.06255037785441447,1.1288929549995,0.7688374590460745
DiagReachK2,180,18,3,timeW2,2.5775818444739373,0.10230692123259347,-0.08295051712047999,0.03499899544949564,-0.06572264205169623,-0.06730792578309774,0.01722787506878376,2.475274923241344,2.275827754779296,2.640471553420751,0.05634265752827881,1.2298946059015055,0.8114637016966659
DiagReachK2,180,18,3,cfKL,2.880162276665861,0.23133732416463287,-0.15131678967809406,-0.17754679973440968,-0.15131678967809406,-0.4088841238990426,0.0,2.6488249525012284,2.4454275167579285,2.8167512869849465,0.17573051533610606,1.220502784893009,0.8277196982184548
DiagReachK2,180,18,3,cfW2,2.9765871535496045,0.23052588290229303,-0.14958946994083802,-0.17518184428408884,-0.14958946994083802,-0.4057077271863818,0.0,2.7460612706473113,2.540422685315804,2.9190527275926583,0.16676905998705735,1.261935786687758,0.8503188492730351
DiagReachK2,186,6,6,timeKL,0.5080520251939415,0.10160433272740187,-0.12906348382130078,-0.05426537101247966,-0.12906348382130078,-0.15586970373988152,0.0,0.40644769246653967,0.2882138064181155,0.5114819827651891,0.3873764870046307,2.361498742094993,0.4716157311250854
DiagReachK2,186,6,6,timeW2,0.5566343889090366,0.10859192304524197,-0.19063878416927776,-0.08380851054353099,-0.19063878416927776,-0.192400433588773,0.0,0.4480424658637946,0.29667894145138585,0.5772395281754402,0.4567802942097067,2.7888439883453726,0.5904616298419926
