env,metric,seed,optimism_delta,optimism_delta_lo,optimism_delta_hi,sample_shaped_delta,sample_shaped_delta_lo,sample_shaped_delta_hi,sample_raw_delta,sample_raw_delta_lo,sample_raw_delta_hi,det_shaped_delta,det_shaped_delta_lo,det_shaped_delta_hi,det_raw_delta,det_raw_delta_lo,det_raw_delta_hi
DiagReachK2,KL,180,0.04426931634638853,-0.03843424793018972,0.12682066555944957,0.08411481718399051,0.0015634679709295694,0.1668183814605687,-0.07619753970898269,-0.10247074326751543,-0.051998816321416855,0.05488205199471864,0.04592534068666295,0.06284402711222349,0.04446428233168277,0.03805905501476474,0.050224127543460687
DiagReachK2,W2,180,0.010597362849447567,-0.06688591197936691,0.08877603284130056,0.08288802827937604,0.004709358287523253,0.1603713031081907,-0.06914079871730797,-0.09494101617619463,-0.04468506344798261,0.0544651066276855,0.04569679360605732,0.06189182426878692,0.04585116909329362,0.03919109142174404,0.051441180140473095
DiagReachK2,KL,186,-0.2322399653369453,-0.28293391017331626,-0.1860426531865291,0.075692941274565,0.029495629124148794,0.126386886110936,-0.022187408219951826,-0.04062024026163375,-0.004440923739436933,0.06284794134589874,0.059233433837393525,0.06658794029927984,0.06284794134589874,0.059233433837393525,0.06658794029927984
DiagReachK2,W2,186,-0.2477855654691274,-0.3034767951398505,-0.19769546619598094,0.07882710542892246,0.028737006155776016,0.13451833509964548,-0.03468517101007374,-0.05609863291303676,-0.012714707117570745,0.09440140735132434,0.09087244050683899,0.09772179910422664,0.09440140735132434,0.09087244050683899,0.09772179910422664
DiagReachK2,KL,187,3.066797493479642,2.9817405193790973,3.152774694959978,0.017491469419291972,-0.06848573206104452,0.10254844351983587,-0.11261671452903103,-0.14548429208573457,-0.08222265476766556,-0.36225678652733695,-0.36757942693718815,-0.3562837594607136,-0.36225678652733695,-0.36757942693718815,-0.3562837594607136
DiagReachK2,W2,187,2.428233644745702,2.3507190636991075,2.500271207905289,-0.02319569148940001,-0.095233254648988,0.054318889557193654,-0.11155834103819874,-0.14245528729630222,-0.08251275578086278,-0.3566234502465022,-0.36119251711541117,-0.3518062511779805,-0.3566234502465022,-0.36119251711541117,-0.3518062511779805
DiagReachK3,KL,180,-0.08932048344499044,-0.14991004498002436,-0.03520082454542924,-0.1446041753662484,-0.1987238342658098,-0.08401461383121474,-0.18701235858329707,-0.21694204906421583,-0.1576132334239671,-0.027139330541649645,-0.03317101045850009,-0.021502958929691167,-0.027139330541649645,-0.03317101045850009,-0.021502958929691167
DiagReachK3,W2,180,0.04429688599261128,-0.015377236064789588,0.10101359698420356,-0.13622451619174847,-0.19294122718334097,-0.07655039413434778,-0.18276010685530075,-0.2147051658564976,-0.15363857201328607,-0.024045975446460754,-0.028483102772661164,-0.01962713905652854,-0.024045975446460754,-0.028483102772661164,-0.01962713905652854
DiagReachK3,KL,186,0.03622305788055946,-0.041809751966736135,0.13221598513639532,-0.01065979485929347,-0.10665272211512943,0.06737301498800201,0.017511679254766835,-0.0022282441860103563,0.039207462016279365,-0.14740721194871192,-0.1532358972136762,-0.14157821050472302,-0.11968060268886811,-0.12497803300833903,-0.11461531852272842
DiagReachK3,W2,186,-0.02005537204394603,-0.12105696452222767,0.09588306789641046,0.09762627141340083,-0.01831216852695575,0.19862786389168233,-0.004905924910917854,-0.030138793478305555,0.018555232788641903,-0.1287090880641247,-0.13570357568002042,-0.12133163927125143,-0.18552584898038757,-0.1911949296414561,-0.17998050192319412
DiagReachK3,KL,187,-0.2046377914710486,-0.2507882548528285,-0.1586348050354078,-0.03174929669773979,-0.0777522831333805,0.014401166684039962,-0.041066427013788626,-0.06334296704760164,-0.01955304219442901,0.04781485777839403,0.04474565174241438,0.0506989550151635,0.04781485777839403,0.04474565174241438,0.0506989550151635
DiagReachK3,W2,187,-0.7282934964980295,-0.786628577966381,-0.6591399894898625,-0.1702989129862887,-0.23945241999445552,-0.11196383151793735,-0.15203599744021412,-0.17187983632348686,-0.1318830186947515,-0.0800883004838399,-0.08259353098153054,-0.07774200627431141,-0.0800883004838399,-0.08259353098153054,-0.07774200627431141
