env,metric,seed,reward_delta,joint_delta,any_event_delta,compute_seconds_delta
DiagReachK2,KL,180,-0.0216706890722147,-0.0032051282051281937,0.003205128205128205,1.6394360065460205
DiagReachK2,KL,186,0.049811772550700795,0.0,0.0,0.45167016983032227
DiagReachK2,KL,187,0.20173582456274808,0.0,0.0,-16.37511920928955
DiagReachK2,W2,180,0.14741914319228755,-0.0064102564102563875,0.00641025641025641,24.19953179359436
DiagReachK2,W2,186,0.22551610456555693,0.04166666666666663,-0.041666666666666664,2.2565298080444336
DiagReachK2,W2,187,-0.10894299174316657,0.0,0.0,-0.8469452857971191
DiagReachK3,KL,180,0.23418858569453782,-0.09935897435897434,0.09935897435897435,11.855100631713867
DiagReachK3,KL,186,-0.12874861513686042,-0.0064102564102563875,0.00641025641025641,-24.268638610839844
DiagReachK3,KL,187,0.02504377549694148,0.0,0.0,-6.853349685668945
DiagReachK3,W2,180,0.15312755253726706,0.0,0.0,-1.7406747341156006
DiagReachK3,W2,186,0.11481827012059043,-0.009615384615384581,0.009615384615384616,24.191269874572754
DiagReachK3,W2,187,0.15354660189171732,0.0,0.0,-3.578118324279785
