job,env,seed,metric,estimator,reward,joint,success,any_event,cost_mean,event,excess,eval_penalty_mean,eval_counterfactual_shaped_mean,actual_steps,gradient_data_steps,selection_steps,acceptance_steps,PPO_optimizer_steps,effective_actor_installs,middle_selected,middle_installed,distance_active,baseline_seconds,solver_seconds,wall_seconds_training_and_final_eval,train_raw,train_shaped,train_penalty
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,9.236396082290687,0.9967948717948718,1.0,0.003205128205128205,"[5.648478688337864, 5.236373699628389]","[0.003205128205128205, 0.0]","[8.820468543941376e-06, 0.0]",4.410170731716789e-05,9.23635196685791,12000,6000,3600,2400,324,4,1,1,25,0.22110980097204447,20.99663519859314,33.277493953704834,7.793632959216954,7.05615076595557,0.737482193261385
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,9.258066771362902,1.0,1.0,0.0,"[5.133363372240311, 5.643973929759784]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.25806713104248,12000,6000,3600,2400,328,5,3,2,25,0.0,20.157761335372925,31.638057947158813,7.840144666485725,7.021947289161621,0.8181973773241044
development_DiagReachK2_s180_W2_cf_state,DiagReachK2,180,W2,cf_state,9.417461859923973,0.9935897435897436,1.0,0.00641025641025641,"[5.4284021732134695, 5.746144103698241]","[0.0, 0.00641025641025641]","[0.0, 8.974574569962745e-06]",4.487350815907121e-05,9.4174165725708,12000,6000,3600,2400,324,7,5,4,25,0.36803766060620546,38.18789601325989,58.11298155784607,7.87636363125091,7.185108705821088,0.691254925429821
development_DiagReachK2_s180_W2_time_loo,DiagReachK2,180,W2,time_loo,9.270042716731686,1.0,1.0,0.0,"[5.57439017143005, 5.24321849988057]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.270042419433594,12000,6000,3600,2400,344,6,4,3,25,0.0,21.789832592010498,33.91344976425171,7.78110823787555,7.0487604034672655,0.7323478344082832
development_DiagReachK2_s186_KL_cf_state,DiagReachK2,186,KL,cf_state,9.352326310879624,1.0,1.0,0.0,"[5.50883937951846, 5.667678849819379]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.352326393127441,12000,6000,3600,2400,340,16,9,9,25,0.21670491062104702,20.38396406173706,32.08157801628113,7.887331438367534,7.419128355090786,0.46820308327674864
development_DiagReachK2_s186_KL_time_loo,DiagReachK2,186,KL,time_loo,9.302514538328923,1.0,1.0,0.0,"[5.376417558926803, 5.387055586545896]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.30251407623291,12000,6000,3600,2400,276,10,7,6,25,0.0,20.382001876831055,31.629907846450806,7.735233539069395,7.182668094659547,0.5525654444098472
development_DiagReachK2_s186_W2_cf_state,DiagReachK2,186,W2,cf_state,9.333643183190725,1.0,1.0,0.0,"[5.595854316002283, 5.264023731916379]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.333642959594727,12000,6000,3600,2400,356,5,2,2,25,0.21929616201668978,20.987877130508423,33.27032256126404,7.767702649580313,6.983746565030886,0.783956084549427
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,9.108127078625168,0.9583333333333334,1.0,0.041666666666666664,"[5.280164179129478, 5.888227513203254]","[0.0, 0.041666666666666664]","[0.0, 0.00010461557624686383]",0.0005230804090388119,9.107604026794434,12000,6000,3600,2400,348,12,7,6,25,0.0,19.50675892829895,31.013792753219604,7.598884427549474,7.026639564486377,0.572244863063097
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,9.287544181417166,1.0,1.0,0.0,"[4.925001855079945, 5.764117383039915]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.287544250488281,12000,6000,3600,2400,348,7,4,4,25,0.21545764990150928,22.09574007987976,33.86615872383118,7.816332645423121,6.949626875973649,0.8667057694494724
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,9.085808356854418,1.0,1.0,0.0,"[5.333712535026746, 5.4189971058796615]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.085808753967285,12000,6000,3600,2400,360,6,4,4,25,0.0,32.26621747016907,50.24127793312073,7.698524399638011,6.69255412140472,1.0059702782332898
development_DiagReachK2_s187_W2_cf_state,DiagReachK2,187,W2,cf_state,9.26139294112434,1.0,1.0,0.0,"[5.589154414641551, 5.0011356595234995]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.261392593383789,12000,6000,3600,2400,368,8,7,5,25,0.2144295396283269,20.126551389694214,33.06475877761841,7.829292524668507,7.070626864793828,0.7586656598746777
development_DiagReachK2_s187_W2_time_loo,DiagReachK2,187,W2,time_loo,9.370335932867507,1.0,1.0,0.0,"[5.402620552442013, 5.7380793919930095]","[0.0, 0.0]","[0.0, 0.0]",0.0,9.370335578918457,12000,6000,3600,2400,364,4,4,3,25,0.0,21.716055631637573,33.91170406341553,7.8264586252028785,6.982438401287301,0.844020223915577
development_DiagReachK3_s180_KL_cf_state,DiagReachK3,180,KL,cf_state,9.820100211233989,0.9006410256410257,1.0,0.09935897435897435,"[6.813409163401677, 6.364442681654905, 12.059510946273804]","[0.016025641025641024, 0.08974358974358974, 0.0]","[3.9898432218110765e-05, 0.0006122803076719655, 0.0]",0.0032608993351459503,9.816839218139648,12000,6000,3600,2400,340,8,5,4,25,0.3136089760810137,38.00797653198242,54.27621078491211,8.228008086074913,7.599780261506164,0.6282278245687485
development_DiagReachK3_s180_KL_time_loo,DiagReachK3,180,KL,time_loo,9.58591162553945,1.0,1.0,0.0,"[6.642556499212216, 5.837701782202109, 11.408811474457766]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.585911750793457,12000,6000,3600,2400,344,9,6,4,25,0.0,29.893873929977417,42.42111015319824,7.927655636700196,7.306456355931563,0.6211992807686328
development_DiagReachK3_s180_W2_cf_state,DiagReachK3,180,W2,cf_state,9.673820763286345,1.0,1.0,0.0,"[6.687740888351049, 6.034079432487488, 11.621616999308268]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.673820495605469,12000,6000,3600,2400,300,9,7,6,25,0.24660284724086523,28.500367879867554,40.658578872680664,8.117433859585207,7.69700319337694,0.4204306662082672
development_DiagReachK3_s180_W2_time_loo,DiagReachK3,180,W2,time_loo,9.520693210749078,1.0,1.0,0.0,"[6.34408733019462, 6.093345953867986, 11.364460890109722]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.520692825317383,12000,6000,3600,2400,324,10,7,5,25,0.0,29.5894136428833,42.399253606796265,7.99591907439877,7.554803023469938,0.4411160509288311
development_DiagReachK3_s186_KL_cf_state,DiagReachK3,186,KL,cf_state,9.313750918758645,0.9935897435897436,1.0,0.00641025641025641,"[6.732874176441094, 5.745998839537303, 11.389016661888514]","[0.00641025641025641, 0.0, 0.0]","[1.3740071446903926e-05, 0.0, 0.0]",6.870199285913259e-05,9.313682556152344,12000,6000,3600,2400,392,5,3,1,25,0.24919591564685106,29.419645309448242,42.138943910598755,8.143642639763334,7.344061932958344,0.7995807068049907
development_DiagReachK3_s186_KL_time_loo,DiagReachK3,186,KL,time_loo,9.442499533895505,1.0,1.0,0.0,"[6.707820803691179, 6.19023214548062, 11.807284220671042]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.442499160766602,12000,6000,3600,2400,384,6,1,1,25,0.0,47.41954207420349,66.4075825214386,8.249769769813149,7.496008385325995,0.7537613844871521
development_DiagReachK3_s186_W2_cf_state,DiagReachK3,186,W2,cf_state,9.44894906635192,0.9903846153846154,1.0,0.009615384615384616,"[6.760450046796065, 5.076279369684366, 10.76997419504019]","[0.009615384615384616, 0.0, 0.0]","[3.4206516140109586e-05, 0.0, 0.0]",0.0001710347569314763,9.44877815246582,12000,6000,3600,2400,336,6,3,2,25,0.38369776029139757,47.492270946502686,66.67246150970459,8.053785730306224,7.438281351778823,0.6155043785274029
development_DiagReachK3_s186_W2_time_loo,DiagReachK3,186,W2,time_loo,9.33413079623133,1.0,1.0,0.0,"[6.338576837992057, 5.403796257116856, 10.720405835371752]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.334131240844727,12000,6000,3600,2400,348,8,6,3,25,0.0,29.72271418571472,42.481191635131836,8.166605919032829,7.535943852990407,0.6306620660424233
development_DiagReachK3_s187_KL_cf_state,DiagReachK3,187,KL,cf_state,9.452165464923018,1.0,1.0,0.0,"[6.4699862996737165, 5.810806650381822, 11.209129886749464]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.452165603637695,12000,6000,3600,2400,356,4,2,2,24,0.24672790709882975,29.27960777282715,41.75182819366455,8.1655553084939,7.3492029349833,0.8163523735105991
development_DiagReachK3_s187_KL_time_loo,DiagReachK3,187,KL,time_loo,9.427121689426077,1.0,1.0,0.0,"[5.8440884076631985, 6.034523534469115, 10.732657961356335]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.427122116088867,12000,6000,3600,2400,388,5,5,1,25,0.0,34.73818516731262,48.605177879333496,8.164241199102113,7.385176807995745,0.7790643911063672
development_DiagReachK3_s187_W2_cf_state,DiagReachK3,187,W2,cf_state,9.450519351627028,1.0,1.0,0.0,"[6.215939003687638, 5.741637949760143, 10.884667735833387]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.450519561767578,12000,6000,3600,2400,356,4,2,2,25,0.2558432696387172,29.492565155029297,42.407350301742554,8.157647107454327,7.368944928111819,0.7887021793425083
development_DiagReachK3_s187_W2_time_loo,DiagReachK3,187,W2,time_loo,9.29697274973531,1.0,1.0,0.0,"[5.371132567906991, 5.93892966172634, 10.296573421893976]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,9.296972274780273,12000,6000,3600,2400,332,4,4,3,25,0.0,32.667582511901855,45.98546862602234,8.104673384590665,7.312701124860566,0.7919722597301007
