job,env,seed,metric,estimator,cycle,actual_steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,mean_cost,event,excess,cumulative_overbudget_amount
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,0,480,exploration,20,3.2241866626008417,3.0743336416943934,0.14985302090644836,0.1,0.05,"[1.5594119757413865, 1.6262317836284637]","[0.05, 0.05]","[0.0009512583414713505, 0.015306381384531654]",1.9509167671203613
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,0,480,selection,12,3.7271453788581614,3.7271453788581614,0.0,0.0,0.0,"[0.3568514833847682, 0.9385336513320605]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,0,480,acceptance,8,4.2181462437147275,4.2181462437147275,0.0,0.0,0.0,"[0.6755631566047668, 1.260714951902628]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,1,960,exploration,20,4.680874697079998,4.047889611831051,0.6329850852489471,0.15,0.1,"[2.2841935262084005, 2.948697417974472]","[0.05, 0.1]","[0.003461587429046631, 0.044056046009063723]",5.702116012573242
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,1,960,selection,12,6.665040048001296,6.665040048001296,0.0,0.3333333333333333,0.0,"[2.586207310358683, 2.4412064949671426]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,1,960,acceptance,8,6.842277829254454,6.842277829254454,0.0,0.5,0.0,"[2.9393168687820435, 2.5165653973817825]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,2,1440,exploration,20,6.959208891924353,5.112235353525611,1.8469735383987427,0.1,0.45,"[4.297142696380615, 4.123238010704517]","[0.3, 0.2]","[0.053297034899393726, 0.07144033511479696]",14.96848440170288
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,2,1440,selection,12,7.70662510531826,7.692732653396161,0.013892451922098795,0.6666666666666666,0.25,"[4.866865913073222, 2.5489705204963684]","[0.25, 0.0]","[0.0027784903844197593, 0.0]",0.20005130767822266
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,2,1440,acceptance,8,7.9355965253227625,7.9355965253227625,0.0,1.0,0.0,"[4.3625946044921875, 3.1898499727249146]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,3,1920,exploration,20,6.32167880287394,4.640158579256386,1.6815202236175537,0.2,0.25,"[4.228767913579941, 3.149506203830242]","[0.15, 0.15]","[0.04070361852645874, 0.04953749974568685]",10.82893419265747
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,3,1920,selection,12,7.523840298848525,7.523840298848525,0.0,1.0,0.0,"[3.9825159112612405, 2.472784290711085]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,3,1920,acceptance,8,7.96072762903641,7.96072762903641,0.0,1.0,0.0,"[4.521643280982971, 3.030844748020172]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,4,2400,exploration,20,6.7040656147780835,6.1100846765819,0.5939809381961823,0.3,0.15,"[4.229766416549682, 3.3824381813406945]","[0.1, 0.05]","[0.028542649745941163, 0.005905413627624511]",4.133767604827881
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,4,2400,selection,12,8.527974188652783,8.527974188652783,0.0,1.0,0.0,"[4.665326038996379, 4.171782612800598]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,4,2400,acceptance,8,8.586582549166632,8.586582549166632,0.0,1.0,0.0,"[4.797895729541779, 4.2099809646606445]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,5,2880,exploration,20,6.886221916144715,5.269641996091233,1.616579920053482,0.1,0.45,"[4.1067797735333444, 4.59588435292244]","[0.2, 0.35]","[0.04494479497273762, 0.08832470973332723]",15.992340564727783
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,5,2880,selection,12,8.890224302432033,8.890224302432033,0.0,1.0,0.0,"[4.848244468371074, 4.8491848309834795]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,5,2880,acceptance,8,9.211465686955489,9.211465686955489,0.0,1.0,0.0,"[5.31980562210083, 5.275716304779053]","[0.0, 0.0]","[0.0, 0.0]",0.0
