job,env,arm,seed,reward,success,joint,cost,violation,steps,eval_episodes,exit_code,command
development_DiagReachK2_s180_fisher,DiagReachK2,fisher,180,8.95417265571479,1.0,1.0,"[5.271343306089059, 5.339001643352019]","[0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s180_fisher/job.json""]"
development_DiagReachK2_s180_full_kl,DiagReachK2,full_kl,180,9.286404710067496,1.0,0.9839743589743589,"[5.695978953288152, 5.487992841463822]","[0.016025641025641024, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s180_full_kl/job.json""]"
development_DiagReachK2_s180_full_none,DiagReachK2,full_none,180,9.265220747715256,1.0,0.9711538461538461,"[5.723639263556554, 5.488320035812182]","[0.028846153846153848, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s180_full_none/job.json""]"
development_DiagReachK2_s180_full_ot,DiagReachK2,full_ot,180,9.286404710067496,1.0,0.9839743589743589,"[5.695978953288152, 5.487992841463822]","[0.016025641025641024, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s180_full_ot/job.json""]"
development_DiagReachK2_s180_ppolag,DiagReachK2,ppolag,180,9.40824770173972,1.0,1.0,"[5.692510073001568, 5.558941784577492]","[0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s180_ppolag/job.json""]"
development_DiagReachK2_s186_fisher,DiagReachK2,fisher,186,8.809540534227429,1.0,1.0,"[5.05456236234078, 5.4593178782707605]","[0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s186_fisher/job.json""]"
development_DiagReachK2_s186_full_kl,DiagReachK2,full_kl,186,9.309244137694277,1.0,0.8108974358974359,"[5.884089075602018, 5.330574446763748]","[0.1891025641025641, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s186_full_kl/job.json""]"
development_DiagReachK2_s186_full_none,DiagReachK2,full_none,186,9.309244137694277,1.0,0.8108974358974359,"[5.884089075602018, 5.330574446763748]","[0.1891025641025641, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s186_full_none/job.json""]"
development_DiagReachK2_s186_full_ot,DiagReachK2,full_ot,186,9.309244137694277,1.0,0.8108974358974359,"[5.884089075602018, 5.330574446763748]","[0.1891025641025641, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s186_full_ot/job.json""]"
development_DiagReachK2_s186_ppolag,DiagReachK2,ppolag,186,9.375592809207436,1.0,1.0,"[5.467632526006454, 5.771346905292609]","[0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK2_s186_ppolag/job.json""]"
