id,task,arm,seed,host,status,live,observed_steps,reward_mean,cost_mean
SafetyAntMultiGoal0Vision-v0__mappo__s0,SafetyAntMultiGoal0Vision-v0,mappo,0,volc-a100,training,True,1688319,,
SafetyAntMultiGoal1Vision-v0__mappo__s0,SafetyAntMultiGoal1Vision-v0,mappo,0,volc-a100,training,True,1439000,,
SafetyAntMultiGoal2Vision-v0__mappo__s0,SafetyAntMultiGoal2Vision-v0,mappo,0,volc-a100,training,True,1280000,,
SafetyCarMultiGoal0Vision-v0__mappo__s0,SafetyCarMultiGoal0Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal1Vision-v0__mappo__s0,SafetyCarMultiGoal1Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal2Vision-v0__mappo__s0,SafetyCarMultiGoal2Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal0Vision-v0__mappo__s0,SafetyDoggoMultiGoal0Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal1Vision-v0__mappo__s0,SafetyDoggoMultiGoal1Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal2Vision-v0__mappo__s0,SafetyDoggoMultiGoal2Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyPointMultiGoal0Vision-v0__mappo__s0,SafetyPointMultiGoal0Vision-v0,mappo,0,volc-a100,training,True,1804000,,
SafetyPointMultiGoal1Vision-v0__mappo__s0,SafetyPointMultiGoal1Vision-v0,mappo,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal2Vision-v0__mappo__s0,SafetyPointMultiGoal2Vision-v0,mappo,0,volc-a100,pending,False,0,,
SafetyRacecarMultiGoal0Vision-v0__mappo__s0,SafetyRacecarMultiGoal0Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal1Vision-v0__mappo__s0,SafetyRacecarMultiGoal1Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal2Vision-v0__mappo__s0,SafetyRacecarMultiGoal2Vision-v0,mappo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyAntMultiGoal0Vision-v0__happo__s0,SafetyAntMultiGoal0Vision-v0,happo,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal1Vision-v0__happo__s0,SafetyAntMultiGoal1Vision-v0,happo,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal2Vision-v0__happo__s0,SafetyAntMultiGoal2Vision-v0,happo,0,volc-a100,pending,False,0,,
SafetyCarMultiGoal0Vision-v0__happo__s0,SafetyCarMultiGoal0Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal1Vision-v0__happo__s0,SafetyCarMultiGoal1Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal2Vision-v0__happo__s0,SafetyCarMultiGoal2Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal0Vision-v0__happo__s0,SafetyDoggoMultiGoal0Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal1Vision-v0__happo__s0,SafetyDoggoMultiGoal1Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal2Vision-v0__happo__s0,SafetyDoggoMultiGoal2Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyPointMultiGoal0Vision-v0__happo__s0,SafetyPointMultiGoal0Vision-v0,happo,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal1Vision-v0__happo__s0,SafetyPointMultiGoal1Vision-v0,happo,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal2Vision-v0__happo__s0,SafetyPointMultiGoal2Vision-v0,happo,0,volc-a100,pending,False,0,,
SafetyRacecarMultiGoal0Vision-v0__happo__s0,SafetyRacecarMultiGoal0Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal1Vision-v0__happo__s0,SafetyRacecarMultiGoal1Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal2Vision-v0__happo__s0,SafetyRacecarMultiGoal2Vision-v0,happo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyAntMultiGoal0Vision-v0__mappolag__s0,SafetyAntMultiGoal0Vision-v0,mappolag,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal1Vision-v0__mappolag__s0,SafetyAntMultiGoal1Vision-v0,mappolag,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal2Vision-v0__mappolag__s0,SafetyAntMultiGoal2Vision-v0,mappolag,0,volc-a100,pending,False,0,,
SafetyCarMultiGoal0Vision-v0__mappolag__s0,SafetyCarMultiGoal0Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal1Vision-v0__mappolag__s0,SafetyCarMultiGoal1Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal2Vision-v0__mappolag__s0,SafetyCarMultiGoal2Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal0Vision-v0__mappolag__s0,SafetyDoggoMultiGoal0Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal1Vision-v0__mappolag__s0,SafetyDoggoMultiGoal1Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal2Vision-v0__mappolag__s0,SafetyDoggoMultiGoal2Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyPointMultiGoal0Vision-v0__mappolag__s0,SafetyPointMultiGoal0Vision-v0,mappolag,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal1Vision-v0__mappolag__s0,SafetyPointMultiGoal1Vision-v0,mappolag,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal2Vision-v0__mappolag__s0,SafetyPointMultiGoal2Vision-v0,mappolag,0,volc-a100,pending,False,0,,
SafetyRacecarMultiGoal0Vision-v0__mappolag__s0,SafetyRacecarMultiGoal0Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal1Vision-v0__mappolag__s0,SafetyRacecarMultiGoal1Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal2Vision-v0__mappolag__s0,SafetyRacecarMultiGoal2Vision-v0,mappolag,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyAntMultiGoal0Vision-v0__macpo__s0,SafetyAntMultiGoal0Vision-v0,macpo,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal1Vision-v0__macpo__s0,SafetyAntMultiGoal1Vision-v0,macpo,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal2Vision-v0__macpo__s0,SafetyAntMultiGoal2Vision-v0,macpo,0,volc-a100,pending,False,0,,
SafetyCarMultiGoal0Vision-v0__macpo__s0,SafetyCarMultiGoal0Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal1Vision-v0__macpo__s0,SafetyCarMultiGoal1Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal2Vision-v0__macpo__s0,SafetyCarMultiGoal2Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal0Vision-v0__macpo__s0,SafetyDoggoMultiGoal0Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal1Vision-v0__macpo__s0,SafetyDoggoMultiGoal1Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal2Vision-v0__macpo__s0,SafetyDoggoMultiGoal2Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyPointMultiGoal0Vision-v0__macpo__s0,SafetyPointMultiGoal0Vision-v0,macpo,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal1Vision-v0__macpo__s0,SafetyPointMultiGoal1Vision-v0,macpo,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal2Vision-v0__macpo__s0,SafetyPointMultiGoal2Vision-v0,macpo,0,volc-a100,pending,False,0,,
SafetyRacecarMultiGoal0Vision-v0__macpo__s0,SafetyRacecarMultiGoal0Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal1Vision-v0__macpo__s0,SafetyRacecarMultiGoal1Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal2Vision-v0__macpo__s0,SafetyRacecarMultiGoal2Vision-v0,macpo,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyAntMultiGoal0Vision-v0__safeot_eps0__s0,SafetyAntMultiGoal0Vision-v0,safeot_eps0,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal1Vision-v0__safeot_eps0__s0,SafetyAntMultiGoal1Vision-v0,safeot_eps0,0,volc-a100,pending,False,0,,
SafetyAntMultiGoal2Vision-v0__safeot_eps0__s0,SafetyAntMultiGoal2Vision-v0,safeot_eps0,0,volc-a100,pending,False,0,,
SafetyCarMultiGoal0Vision-v0__safeot_eps0__s0,SafetyCarMultiGoal0Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal1Vision-v0__safeot_eps0__s0,SafetyCarMultiGoal1Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyCarMultiGoal2Vision-v0__safeot_eps0__s0,SafetyCarMultiGoal2Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal0Vision-v0__safeot_eps0__s0,SafetyDoggoMultiGoal0Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal1Vision-v0__safeot_eps0__s0,SafetyDoggoMultiGoal1Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyDoggoMultiGoal2Vision-v0__safeot_eps0__s0,SafetyDoggoMultiGoal2Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyPointMultiGoal0Vision-v0__safeot_eps0__s0,SafetyPointMultiGoal0Vision-v0,safeot_eps0,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal1Vision-v0__safeot_eps0__s0,SafetyPointMultiGoal1Vision-v0,safeot_eps0,0,volc-a100,pending,False,0,,
SafetyPointMultiGoal2Vision-v0__safeot_eps0__s0,SafetyPointMultiGoal2Vision-v0,safeot_eps0,0,volc-a100,pending,False,0,,
SafetyRacecarMultiGoal0Vision-v0__safeot_eps0__s0,SafetyRacecarMultiGoal0Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal1Vision-v0__safeot_eps0__s0,SafetyRacecarMultiGoal1Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
SafetyRacecarMultiGoal2Vision-v0__safeot_eps0__s0,SafetyRacecarMultiGoal2Vision-v0,safeot_eps0,0,volc-a100,blocked_missing_official_xml,False,0,,
