env,seed,version,reward,success,joint,any_event,event_per_channel,cost_mean,excess,events
DiagReachK2,180,margin0,9.460867576121109,1.0,0.9765625,0.0234375,"[0.0185546875, 0.0048828125]","[5.709203720092773, 5.69290018081665]","[0.000200362759642303, 2.8104521334171295e-05]",24
DiagReachK2,180,margin02,9.386448259216513,1.0,0.98828125,0.01171875,"[0.01171875, 0.0]","[5.639702796936035, 5.522637367248535]","[0.00015082641039043665, 0.0]",12
DiagReachK2,186,margin0,9.539318438440981,1.0,0.98046875,0.01953125,"[0.01171875, 0.01171875]","[5.7523322105407715, 5.792423248291016]","[8.890090975910425e-05, 4.434003494679928e-05]",20
DiagReachK2,186,margin02,9.515910882126466,1.0,0.99609375,0.00390625,"[0.00390625, 0.0]","[5.692459583282471, 5.70093297958374]","[1.3970653526484966e-05, 0.0]",4
DiagReachK2,187,margin0,9.49568039366726,1.0,0.953125,0.046875,"[0.01953125, 0.0283203125]","[5.711078643798828, 5.746844291687012]","[0.00014250981621444225, 0.0002682376652956009]",48
DiagReachK2,187,margin02,9.408006797666427,1.0,0.99609375,0.00390625,"[0.0009765625, 0.0029296875]","[5.527461528778076, 5.629248142242432]","[3.5696430131793022e-06, 1.6408157534897327e-05]",4
DiagReachK3,180,margin0,9.818671744737602,1.0,0.96875,0.03125,"[0.013671875, 0.01953125, 0.0]","[6.780045509338379, 6.31967830657959, 12.04379940032959]","[6.380502600222826e-05, 0.00011215533595532179, 0.0]",32
DiagReachK3,180,margin02,9.7600605039765,1.0,0.9990234375,0.0009765625,"[0.0009765625, 0.0, 0.0]","[6.655395984649658, 6.213430881500244, 11.823593139648438]","[8.870847523212433e-07, 0.0, 0.0]",1
DiagReachK3,186,margin0,9.811133796636394,1.0,0.978515625,0.021484375,"[0.0087890625, 0.0126953125, 0.0]","[6.791454792022705, 6.316579818725586, 12.0166015625]","[3.0089286155998707e-05, 5.0700968131422997e-05, 0.0]",22
DiagReachK3,186,margin02,9.749767180837182,1.0,1.0,0.0,"[0.0, 0.0, 0.0]","[6.6673102378845215, 6.205020904541016, 11.843976020812988]","[0.0, 0.0, 0.0]",0
DiagReachK3,187,margin0,9.845588249743102,1.0,0.9716796875,0.0283203125,"[0.0087890625, 0.01953125, 0.0]","[6.8019843101501465, 6.355167388916016, 12.064469337463379]","[3.465625923126936e-05, 7.81005946919322e-05, 0.0]",29
DiagReachK3,187,margin02,9.757348573336543,1.0,0.9990234375,0.0009765625,"[0.0, 0.0009765625, 0.0]","[6.653133392333984, 6.222445011138916, 11.740943908691406]","[0.0, 7.586786523461342e-07, 0.0]",1
