env,seed,mode,reward,success,joint,any_event,event_per_channel,cost_mean,excess,events,old312_reward,old312_any_event,old312_joint,effective_updates,old_selected,retained_old,unsafe_fallback,max_no_update_streak,pathwise_bank_rejections,PPO_bank_rejections,pathwise_installs,PPO_installs,final_source,final_cycle,seconds
DiagReachK2,180,gate,9.376599738607673,1.0,1.0,0.0,"[0.0, 0.0]","[5.550473690032959, 5.557534217834473]","[0.0, 0.0]",0,9.374570420773242,0.0,1.0,9,13,16,8,15,5,9,7,2,pathwise_DT,24,338.57803678512573
DiagReachK2,180,monitor,9.392939582008648,1.0,0.9853515625,0.0146484375,"[0.0146484375, 0.0]","[5.64121675491333, 5.5377631187438965]","[8.115125820040703e-05, 0.0]",15,9.391434743859254,0.009615384615384616,0.9903846153846154,10,14,15,12,8,4,9,8,2,pathwise_DT,16,427.932293176651
DiagReachK2,186,gate,9.484580124731412,1.0,1.0,0.0,"[0.0, 0.0]","[5.627363204956055, 5.69937801361084]","[0.0, 0.0]",0,9.482921895296824,0.0,1.0,12,10,13,0,6,3,11,11,1,pathwise_DT,18,360.0346837043762
DiagReachK2,186,monitor,9.51752709014968,1.0,1.0,0.0,"[0.0, 0.0]","[5.692167282104492, 5.7023773193359375]","[0.0, 0.0]",0,9.517137428679325,0.0,1.0,10,14,15,12,8,1,6,8,2,pathwise_DT,17,451.7080054283142
DiagReachK2,187,gate,9.40078296177328,1.0,0.9931640625,0.0068359375,"[0.00390625, 0.0029296875]","[5.499464511871338, 5.630572319030762]","[1.2935022823512554e-05, 2.2614840418100357e-05]",7,9.403277934691719,0.0,1.0,7,16,18,7,8,10,7,7,0,pathwise_DT,22,346.16125655174255
DiagReachK2,187,monitor,9.405291563216622,1.0,0.9931640625,0.0068359375,"[0.0029296875, 0.00390625]","[5.516767501831055, 5.623813152313232]","[1.2199743650853634e-05, 2.6186928153038025e-05]",7,9.407094574034458,0.0,1.0,6,18,19,8,8,10,6,6,0,pathwise_DT,22,423.8116023540497
DiagReachK3,180,gate,9.709892730355797,1.0,0.9990234375,0.0009765625,"[0.0, 0.0009765625, 0.0]","[6.582035541534424, 6.179534435272217, 11.72749137878418]","[0.0, 4.4370535761117935e-06, 0.0]",1,9.709353634947911,0.0,1.0,8,13,17,1,10,1,10,6,2,pathwise_DT,24,1182.6460945606232
DiagReachK3,180,monitor,9.761253845275377,1.0,1.0,0.0,"[0.0, 0.0, 0.0]","[6.657163143157959, 6.210380554199219, 11.823378562927246]","[0.0, 0.0, 0.0]",0,9.761929573727405,0.0,1.0,11,11,14,0,7,2,5,9,2,pathwise_DT,24,1213.9304358959198
DiagReachK3,186,gate,9.758689539621951,1.0,1.0,0.0,"[0.0, 0.0, 0.0]","[6.700638771057129, 6.2455010414123535, 11.888130187988281]","[0.0, 0.0, 0.0]",0,9.760063025992078,0.0,1.0,21,3,4,1,1,2,16,21,0,pathwise_DT,24,1137.6489627361298
DiagReachK3,186,monitor,9.75031032538585,1.0,1.0,0.0,"[0.0, 0.0, 0.0]","[6.669191360473633, 6.209185600280762, 11.84903335571289]","[0.0, 0.0, 0.0]",0,9.747915578737052,0.0,1.0,12,13,13,0,7,0,10,11,1,pathwise_DT,21,1118.8738489151
DiagReachK3,187,gate,9.714096309139533,1.0,1.0,0.0,"[0.0, 0.0, 0.0]","[6.597328186035156, 6.173444747924805, 11.72719955444336]","[0.0, 0.0, 0.0]",0,9.714377917911593,0.0,1.0,8,16,17,3,5,7,7,8,0,pathwise_DT,22,2138.184081554413
DiagReachK3,187,monitor,9.757996208011384,1.0,1.0,0.0,"[0.0, 0.0, 0.0]","[6.657370090484619, 6.221991539001465, 11.745784759521484]","[0.0, 0.0, 0.0]",0,9.757444786564646,0.0,1.0,11,12,14,3,8,3,7,11,0,pathwise_DT,16,2038.6335852146149
