env,scale,seed,reward,success,joint,cost,event,excess,any_event
DiagReachK2,0.5,180,-0.020556910671540862,0.0,0.08012820512820518,"[-0.06783952621313283, -0.2792444351391916]","[-0.003205128205128205, -0.07692307692307693]","[-2.803048516950013e-05, -0.0006767913826510433]",-0.08012820512820513
DiagReachK2,0.5,186,0.09314435277166133,0.0,0.0032051282051281937,"[-0.16120178118730166, 0.5774450989869919]","[-0.003205128205128205, 0.0]","[-2.5026309184539014e-06, 0.0]",-0.003205128205128205
DiagReachK2,0.5,187,0.15497622154706292,0.0,-0.03205128205128205,"[0.16827784134791468, 0.079655884168087]","[0.03205128205128205, 0.0]","[0.00033932363885080666, 0.0]",0.03205128205128205
DiagReachK2,1.0,180,0.01197594536878377,0.0,0.0,"[0.4410267991897392, -0.4007554298792133]","[0.0, 0.0]","[0.0, 0.0]",0.0
DiagReachK2,1.0,186,-0.19438745970375493,0.0,-0.04166666666666663,"[-0.09625337979732418, 0.5011719266573582]","[0.0, 0.041666666666666664]","[0.0, 0.00010461557624686383]",0.041666666666666664
DiagReachK2,1.0,187,0.28452757601308853,0.0,0.0,"[0.06890801741526698, 0.319082286113348]","[0.0, 0.0]","[0.0, 0.0]",0.0
DiagReachK2,2.0,180,-0.0693534005213916,0.0,0.0,"[-0.16160273857605834, -0.004295998658889744]","[0.0, 0.0]","[0.0, 0.0]",0.0
DiagReachK2,2.0,186,-0.1713302814545692,0.0,0.0,"[-0.6370255320500102, -0.23458874531281282]","[0.0, 0.0]","[0.0, 0.0]",0.0
DiagReachK2,2.0,187,0.0,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0
DiagReachK3,0.5,180,0.05740279863594999,0.0,0.0,"[0.3537671596576013, -0.36908946128991893, 0.11778164215576936]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0
DiagReachK3,0.5,186,0.0646144089827434,0.0,-0.15384615384615385,"[0.00955325212234115, 1.3316574081396446, 1.30488553413978]","[-0.019230769230769225, 0.1891025641025641, 0.009615384615384616]","[-0.00017797575765477058, 0.0010993586489434777, 3.702506040915453e-05]",0.15384615384615385
DiagReachK3,0.5,187,0.4044591357680929,0.0,-0.0032051282051281937,"[1.2828385279728822, -0.09343533485363675, 1.2348417563316154]","[0.003205128205128205, 0.0, 0.0]","[6.969813462142208e-06, 0.0, 0.0]",0.003205128205128205
DiagReachK3,1.0,180,-0.06521841479037249,0.0,0.0,"[-0.29846916901759624, 0.2556441716658764, -0.0443505843480434]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0
DiagReachK3,1.0,186,-0.10836873766417554,0.0,0.0,"[-0.36924396569912243, -0.7864358883637648, -1.0868783852992898]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0
DiagReachK3,1.0,187,-0.13014893969076624,0.0,0.0,"[-0.4729558397562075, -0.09559387274277498, -0.4360845394623585]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0
DiagReachK3,2.0,180,0.238289340333683,0.0,0.009615384615384692,"[-0.2604986352798271, -0.03527108216897101, -0.21262089411417762]","[0.0, -0.009615384615384614, 0.0]","[0.0, -4.4008683876173575e-05, 0.0]",-0.009615384615384614
DiagReachK3,2.0,186,0.2345166948210622,0.0,-0.03525641025641024,"[0.09629205098518945, 0.5365892663980141, 0.6126122872034703]","[0.035256410256410256, 0.0, 0.0]","[0.00021704081650618842, 0.0, 0.0]",0.035256410256410256
DiagReachK3,2.0,187,-0.026281791240075236,0.0,0.0,"[0.02662293421916484, -0.19515411823223872, -0.18090745730277824]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0
