job,env,seed,metric,scale,reward,success,joint,cost,event,excess,any_event,steps,eval_episodes,effective_updates,selected_joint,installed_joint,selected_old,distance_active,paired_candidate_different,worker_seconds,exit_code,command
development_DiagReachK2_s180_KL_s0.5,DiagReachK2,180,KL,0.5,9.398719802194197,1.0,0.9198717948717948,"[5.663540074458489, 5.836236369915498]","[0.003205128205128205, 0.07692307692307693]","[2.803048516950013e-05, 0.0006767913826510433]",0.08012820512820513,12000,312,5,4,2,18,25,25,39.79770565032959,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s180_KL_s0.5/job.json""]"
development_DiagReachK2_s180_KL_s1,DiagReachK2,180,KL,1.0,9.258066771362902,1.0,1.0,"[5.133363372240311, 5.643973929759784]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,5,3,2,19,25,25,37.797261238098145,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s180_KL_s1/job.json""]"
development_DiagReachK2_s180_KL_s2,DiagReachK2,180,KL,2.0,9.241076196292385,1.0,1.0,"[5.341810043041523, 5.408675384827149]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,4,2,1,20,24,24,38.29034161567688,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s180_KL_s2/job.json""]"
development_DiagReachK2_s180_W2_s0.5,DiagReachK2,180,W2,0.5,9.378162891522656,1.0,1.0,"[5.595700548245357, 5.556991934776306]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,5,3,2,19,25,25,62.35681438446045,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s180_W2_s0.5/job.json""]"
development_DiagReachK2_s180_W2_s1,DiagReachK2,180,W2,1.0,9.270042716731686,1.0,1.0,"[5.57439017143005, 5.24321849988057]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,6,4,3,18,25,25,45.210657358169556,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s180_W2_s1/job.json""]"
development_DiagReachK2_s180_W2_s2,DiagReachK2,180,W2,2.0,9.171722795770993,1.0,1.0,"[5.180207304465465, 5.40437938616826]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,4,1,1,21,25,25,39.50988745689392,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s180_W2_s2/job.json""]"
development_DiagReachK2_s186_KL_s0.5,DiagReachK2,186,KL,0.5,9.3275152508772,1.0,0.9967948717948718,"[5.852400020146981, 5.15320734335826]","[0.003205128205128205, 0.0]","[2.5026309184539014e-06, 0.0]",0.003205128205128205,12000,312,13,7,7,10,25,25,64.82201504707336,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s186_KL_s0.5/job.json""]"
development_DiagReachK2_s186_KL_s1,DiagReachK2,186,KL,1.0,9.302514538328923,1.0,1.0,"[5.376417558926803, 5.387055586545896]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,10,7,6,14,25,25,49.02151679992676,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s186_KL_s1/job.json""]"
development_DiagReachK2_s186_KL_s2,DiagReachK2,186,KL,2.0,8.912113120242202,1.0,1.0,"[4.585200746854146, 5.567827527339642]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,8,5,5,16,24,24,57.86762046813965,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s186_KL_s2/job.json""]"
development_DiagReachK2_s186_W2_s0.5,DiagReachK2,186,W2,0.5,9.420659603648861,1.0,1.0,"[5.69119823895968, 5.730652442345252]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,8,6,4,15,25,25,69.81333231925964,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s186_W2_s0.5/job.json""]"
