task,method,variant,seeds,episodes,hard_events,hard_rate_pct,return_mean,return_seed_sd,soft_mean,soft_feasible_seeds
cg2,FDPI,fdpi,3,936,62,6.6239316239316235,12.308078980658888,0.7932682457862303,0.13568376068376067,3
cg2,FDPI,fdpi002,2,624,13,2.0833333333333335,2.9743493597571926,1.4829025507120024,0.17307692307692307,2
cg2,FDPI,fdpi05,2,624,75,12.01923076923077,21.26084185141015,0.9024265822500869,0.6282051282051282,2
cg2,SAC-Lag,lag,3,936,54,5.769230769230769,20.709349317796175,2.235188422914219,18.821581196581196,3
cg2,SAC-Lag,lag002,2,624,26,4.166666666666667,7.236296886427926,4.853717174764968,7.875,2
cg2,SAC-Lag,lag05,2,624,190,30.44871794871795,28.253667142890645,0.4025836036770877,33.05448717948718,0
cg2,SAC-Pen,pen1,1,312,117,37.5,28.87788838387153,,30.362179487179485,0
cg2,SAC-Pen,pen20,3,936,20,2.1367521367521367,1.8795705930096398,1.7279012124345134,1.175213675213675,3
cg2,SAC-Pen,pen5,3,936,177,18.91025641025641,23.86202772744691,0.7360643839410859,28.501068376068375,0
cg2,typed-margin,v1a,3,936,116,12.393162393162394,26.624743885790195,0.6711897781370152,34.99679487179487,0
cg2,typed-margin,v1c,4,1248,53,4.246794871794871,16.510688185091393,1.121345699857184,18.713141025641026,4
cg2,typed-margin,v1c2,2,624,2,0.32051282051282054,1.0916271129119495,0.4079333478155117,0.8477564102564102,2
cg2,typed-margin,v1c3,3,936,5,0.5341880341880342,7.155561218165026,1.841580848703228,7.615384615384616,3
cg2,typed-margin,v1e65,2,624,1,0.16025641025641027,10.802054774719966,2.082707459339005,8.6875,2
cg2,typed-margin,v1e7,3,936,3,0.32051282051282054,15.828199619531375,2.0487433145639087,19.957264957264957,2
cg2,typed-margin,v1e75,3,936,13,1.3888888888888888,21.22045896449705,0.08836502857832429,28.826923076923077,0
cg2,typed-margin,v1e75c05,3,936,17,1.8162393162393162,19.254967042170435,0.4228622795559191,4.411324786324786,3
cg2,typed-margin,v1e75c10,3,936,5,0.5341880341880342,17.819761459893222,0.5475514592682414,0.8664529914529915,3
cg2,typed-margin,v1e7c10,2,624,3,0.4807692307692308,13.602383509302463,0.07494183769164649,1.0592948717948718,2
cg2,typed-margin,v1e8,3,936,45,4.8076923076923075,24.923052023995407,0.8092868105429714,32.66666666666667,0
cg2,typed-margin,v1e8c10,2,624,31,4.967948717948718,20.847938704014112,1.1273751415772093,0.7916666666666666,2
pb2,typed-margin,v1a,5,1560,70,4.487179487179487,0.55951513015109,0.23881816335755346,1.1487179487179486,5
pb2,typed-margin,v1b,2,624,37,5.92948717948718,0.3791664288546064,0.06181889682368769,0.842948717948718,2
pb2,typed-margin,v1c,2,624,16,2.5641025641025643,0.10792480201971118,0.055633377080292215,0.8637820512820513,2
pb2,typed-margin,v1dL,2,624,11,1.7628205128205128,-0.3289405160080022,0.09430247350869296,0.47435897435897434,2
pg2,FDPI,fdpi,3,936,33,3.5256410256410255,9.76202410494327,1.0381067670233737,0.15384615384615385,3
pg2,FDPI,fdpi002,2,624,1,0.16025641025641027,1.8322187273770285,0.5500834399869039,0.04807692307692308,2
pg2,FDPI,fdpi05,2,624,54,8.653846153846153,14.993100284841688,2.2530675087482983,0.9615384615384616,2
pg2,SAC-Lag,lag,3,936,12,1.2820512820512822,3.425097763539078,1.6175839072105833,0.5181623931623932,3
pg2,SAC-Lag,lag002,2,624,9,1.4423076923076923,5.933414964954686,1.1000292137780978,2.2564102564102564,2
pg2,SAC-Lag,lag05,2,624,68,10.897435897435898,21.20015853107958,1.0716648852416877,25.971153846153847,0
pg2,SAC-Pen,pen1,1,312,66,21.153846153846153,24.13298458641887,,29.48076923076923,0
pg2,SAC-Pen,pen20,3,936,9,0.9615384615384616,0.9106725757971589,0.6170762337175433,1.717948717948718,3
pg2,SAC-Pen,pen5,3,936,69,7.371794871794871,14.390646993550943,2.568605682345009,14.158119658119658,3
pg2,typed-margin,v1a,3,936,44,4.700854700854701,20.70193628901575,0.8305686933748658,23.162393162393162,2
pg2,typed-margin,v1c,3,936,0,0.0,5.352893568694992,1.8937497136790447,2.590811965811966,3
pg2,typed-margin,v1c7,2,624,0,0.0,0.6310136314436758,0.23318924620765163,0.014423076923076924,2
pg2,typed-margin,v1c85,3,936,17,1.8162393162393162,15.53047126766423,2.194568617871422,20.76923076923077,3
pg2,typed-margin,v1c9,3,936,50,5.3418803418803416,20.89742019708109,1.1174212810896023,25.333333333333332,1
pg2,typed-margin,v1e7,3,936,26,2.7777777777777777,10.988033781789133,1.7099939186475506,5.973290598290598,3
pg2,typed-margin,v1e75,2,624,16,2.5641025641025643,15.957112985223628,1.9667943672142307,16.10096153846154,2
pg2,typed-margin,v1e8,3,936,10,1.0683760683760684,17.592009032296176,1.1478018448476002,20.645299145299145,3
pg2,typed-margin,v1e8c10,2,624,15,2.4038461538461537,12.938298994450978,0.013052741856671378,0.8349358974358974,2
pg2,typed-margin,v1e9,2,624,37,5.92948717948718,20.818710587715735,0.603984606690754,22.71153846153846,2
