branch,job,start,end,worker_seconds,training_steps,evaluation_steps,model_steps
A,span_DiagReachK2_s180_KL,1789580899.8183534,1789580939.9495823,40.13122892379761,12000,3744,0
A,span_DiagReachK2_s186_KL,1789580899.8238215,1789580942.936197,43.11237549781799,12000,3744,0
A,span_DiagReachK2_s187_KL,1789580899.8399782,1789580941.8177414,41.977763175964355,12000,3744,0
A,span_DiagReachK3_s180_KL,1789580899.8315773,1789580952.7242703,52.89269304275513,12000,3744,0
A,span_DiagReachK3_s186_KL,1789580939.9497418,1789580997.961849,58.012107133865356,12000,3744,0
A,span_DiagReachK3_s187_KL,1789580941.817906,1789580990.6633308,48.84542489051819,12000,3744,0
C,alloc_attempt2_DiagReachK2_s180,1789582129.2766454,1789582185.3050091,56.0283637046814,12000,3744,0
C,alloc_attempt2_DiagReachK2_s186,1789582129.2845652,1789582189.4421117,60.157546520233154,12000,3744,0
C,alloc_attempt2_DiagReachK2_s187,1789582129.2906728,1789582169.460034,40.16936111450195,12000,3744,0
C,alloc_attempt2_DiagReachK3_s180,1789582129.297871,1789582185.2882543,55.99038314819336,12000,3744,0
C,alloc_attempt2_DiagReachK3_s186,1789582169.460181,1789582222.714302,53.25412106513977,12000,3744,0
C,alloc_attempt2_DiagReachK3_s187,1789582185.2884402,1789582234.417593,49.12915277481079,12000,3744,0
B,smoke_verified_DiagReachK2_s180_SM,1789585657.26824,1789585665.787309,8.519068956375122,480,0,3360
B,smoke_verified_DiagReachK2_s180_ST,1789585657.271863,1789585668.341741,11.069878101348877,480,0,3600
B,smoke_verified_DiagReachK2_s180_DM,1789585657.292127,1789585665.387421,8.095293998718262,480,0,4080
B,smoke_verified_DiagReachK2_s180_DT,1789585657.292273,1789585669.701139,12.408865928649902,480,0,4560
B,smoke_verified_DiagReachK3_s180_SM,1789585665.394436,1789585675.889574,10.495138168334961,480,0,7200
B,smoke_verified_DiagReachK3_s180_ST,1789585665.79332,1789585680.591922,14.798602104187012,480,0,3840
B,smoke_verified_DiagReachK3_s180_DM,1789585668.347333,1789585675.53246,7.185127019882202,480,0,5040
B,smoke_verified_DiagReachK3_s180_DT,1789585669.707286,1789585686.367885,16.66059923171997,480,0,5280
B,development_DiagReachK2_s180_SM,1789585691.261172,1789585728.164494,36.903321981430054,12000,3744,82080
B,development_DiagReachK2_s180_ST,1789585691.251403,1789586666.174336,974.9229328632355,12000,3744,441120
B,development_DiagReachK2_s180_DM,1789585691.253725,1789585727.46901,36.21528506278992,12000,3744,92160
B,development_DiagReachK2_s180_DT,1789585691.256301,1789585810.594618,119.33831715583801,12000,3744,76080
B,development_DiagReachK2_s186_SM,1789585727.472572,1789585768.343014,40.870441913604736,12000,3744,85680
B,development_DiagReachK2_s186_ST,1789585728.169959,1789586965.999432,1237.8294730186462,12000,3744,580320
B,development_DiagReachK2_s186_DM,1789585768.350781,1789585803.598508,35.247726917266846,12000,3744,80880
B,development_DiagReachK2_s186_DT,1789585803.605535,1789585914.416768,110.81123304367065,12000,3744,60240
B,development_DiagReachK2_s187_SM,1789585810.600311,1789585849.149264,38.54895305633545,12000,3744,87600
B,development_DiagReachK2_s187_ST,1789585849.15488,1789586504.367711,655.2128310203552,12000,3744,394320
B,development_DiagReachK2_s187_DM,1789585914.422741,1789585959.847911,45.425169944763184,12000,3744,76320
B,development_DiagReachK2_s187_DT,1789585959.851407,1789586067.90064,108.04923295974731,12000,3744,62640
B,development_DiagReachK3_s180_SM,1789586067.907587,1789586158.294108,90.38652086257935,12000,3744,138480
B,development_DiagReachK3_s180_ST,1789586158.301695,1789587551.537501,1393.2358059883118,12000,3744,571440
B,development_DiagReachK3_s180_DM,1789586504.373554,1789586597.31482,92.94126605987549,12000,3744,242880
B,development_DiagReachK3_s180_DT,1789586597.321293,1789587001.069938,403.7486448287964,12000,3744,143760
B,development_DiagReachK3_s186_SM,1789586666.181241,1789586731.542262,65.36102104187012,12000,3744,136560
B,development_DiagReachK3_s186_ST,1789586731.54938,1789588195.284408,1463.7350280284882,12000,3744,600960
B,development_DiagReachK3_s186_DM,1789586966.004336,1789587021.835896,55.831559896469116,12000,3744,161760
B,development_DiagReachK3_s186_DT,1789587001.074201,1789587482.636484,481.56228280067444,12000,3744,222480
B,development_DiagReachK3_s187_SM,1789587021.84202,1789587078.301224,56.45920395851135,12000,3744,141360
B,development_DiagReachK3_s187_ST,1789587078.309111,1789588480.254438,1401.9453268051147,12000,3744,538080
B,development_DiagReachK3_s187_DM,1789587482.641154,1789587547.397551,64.75639700889587,12000,3744,158400
B,development_DiagReachK3_s187_DT,1789587547.402884,1789587802.79101,255.38812589645386,12000,3744,111600
U,replay_DiagReachK2_s180,1789592596.1148686,1789592605.70387,9.589001417160034,960,0,0
U,replay_DiagReachK3_s180,1789592605.706776,1789592617.4129946,11.706218719482422,960,0,0
U,smoke_DiagReachK2_s180,1789592605.7069488,1789592613.7556944,8.04874563217163,960,0,0
U,smoke_DiagReachK3_s180,1789592605.7069948,1789592613.6054347,7.898439884185791,960,0,0
U,development_DiagReachK2_s180,1789592619.2618408,1789592672.558347,53.29650616645813,12000,3744,0
U,development_DiagReachK2_s186,1789592619.2620034,1789592661.7335057,42.47150230407715,12000,3744,0
U,development_DiagReachK2_s187,1789592619.262156,1789592658.8781424,39.615986347198486,12000,3744,0
U,development_DiagReachK3_s180,1789592619.2624936,1789592668.5983298,49.33583617210388,12000,3744,0
U,development_DiagReachK3_s186,1789592658.8789067,1789592713.3569489,54.478042125701904,12000,3744,0
U,development_DiagReachK3_s187,1789592661.7342513,1789592709.7989218,48.06467056274414,12000,3744,0
