job,arm,gate,price,eps,seed,reward,soft_cost,soft_budget,soft_feasible,hard_events,episodes,hard_rate,hard_cp95,soft_episode_exceedance,checkpoint_sha256
distance_fixed_e1_s1,distance_fixed_e1,distance,fixed,1,1,6.082418705601602,0.7852564102564102,25,True,2,312,0.00641025641025641,0.02004035719137593,0.016025641025641024,50a1957277777861a758af04d9ba2367dfee45c091b31d0247f2b0ba6a63f48b
distance_lp_e0p1_s1,distance_lp_e0p1,distance,lp,0.1,1,10.645372677096743,19.75,25,True,1,312,0.003205128205128205,0.015113773151500549,0.24358974358974358,97cd13eef6eba7c336ce5d1bff016785bc57700164a9db46ab73a1e5385fc8d9
distance_lp_e1_s1,distance_lp_e1,distance,lp,1,1,0.4925394990186065,0.14423076923076922,25,True,2,312,0.00641025641025641,0.02004035719137593,0.0,9eda015e172a6c7ca852066862bfaf4c25222d8bf39b7cb909d92d07e9c4efca
distance_lp_e3_s1,distance_lp_e3,distance,lp,3,1,6.8718010586442295,9.942307692307692,25,True,1,312,0.003205128205128205,0.015113773151500549,0.16025641025641027,e3a3153796a3b7004a8a68fa24269ca666526ad7db759c60089b7712e5dd2073
approach_fixed_e1_s1,approach_fixed_e1,approach,fixed,1,1,10.400749008985308,0.9006410256410257,25,True,5,312,0.016025641025641024,0.033398624446883726,0.003205128205128205,2c4e01efdad088b04db44fced77bc4349ff1b07820eb64918cee0021f3d452cf
approach_lp_e0p1_s1,approach_lp_e0p1,approach,lp,0.1,1,17.601276254757906,28.96153846153846,25,False,5,312,0.016025641025641024,0.033398624446883726,0.47115384615384615,90cde8c79bb5c165ba9669481155140de5d360f415e3145e0d1c2b488e3e4f28
approach_lp_e1_s1,approach_lp_e1,approach,lp,1,1,17.44442907072147,17.509615384615383,25,True,9,312,0.028846153846153848,0.04979666906434444,0.27884615384615385,77e30e627cef29973e1e7ad6d8793c6519f8c0a246718f7dec0f437573dd85b7
approach_lp_e3_s1,approach_lp_e3,approach,lp,3,1,18.238114807027216,25.506410256410255,25,False,13,312,0.041666666666666664,0.06543014235051427,0.41025641025641024,314b5a65ca2f3f0d1e1957fad9fe652d7e6761ffbd2f8316c26438403ccf998a
distance_fixed_e1_s2,distance_fixed_e1,distance,fixed,1,2,3.922649969590007,0.22435897435897437,25,True,1,312,0.003205128205128205,0.015113773151500549,0.0,e22c516f12bfbbd187ebb36c0aac5069ce7ba4c72866a6473bb843d82ada1d87
distance_lp_e0p1_s2,distance_lp_e0p1,distance,lp,0.1,2,5.951407676772483,2.878205128205128,25,True,1,312,0.003205128205128205,0.015113773151500549,0.03205128205128205,2aa8ea23111787a091159ac5e42365671768a9301c839de95f46d4c900f2b1d6
distance_lp_e1_s2,distance_lp_e1,distance,lp,1,2,4.889734358533024,8.58974358974359,25,True,4,312,0.01282051282051282,0.029096557340277707,0.07371794871794872,291f31eb2e280d4aa6542786fd4662e2647b0593d5c07229b884e46c7eb76853
distance_lp_e3_s2,distance_lp_e3,distance,lp,3,2,10.46963127967272,26.003205128205128,25,False,0,312,0.0,0.009555756807037344,0.26282051282051283,c4d025117ff3db21686b41ee372bb57e08092df46f1d71273425d664e8e7c8ce
approach_fixed_e1_s2,approach_fixed_e1,approach,fixed,1,2,9.266557164537687,0.717948717948718,25,True,7,312,0.022435897435897436,0.04172682166890226,0.01282051282051282,4c0da48494921b564d5f4d58808e88f8cd29cfd6a907b0c8ed61288d08e58576
