queue,task,arm,training_seed,mode,episodes,reward,cost,episode_budget_exceedance,checkpoint_sha256
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,1,deterministic,30,28.06605228406973,197.9,1.0,b88a4a275d175682e532de0e00923192e171507c3d26200587f863be751cda0a
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,1,stochastic,30,30.42239984921016,197.4,1.0,b88a4a275d175682e532de0e00923192e171507c3d26200587f863be751cda0a
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,2,deterministic,30,29.617057888897346,202.5,1.0,f0d7841b561d26c451360f658d2588b88339fe58a5f3b2811312603e77e5d4a8
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,2,stochastic,30,29.590818306287932,147.13333333333333,1.0,f0d7841b561d26c451360f658d2588b88339fe58a5f3b2811312603e77e5d4a8
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,3,deterministic,30,25.36994293306382,228.83333333333334,0.9666666666666667,db780bf4eed0c68535a8a8096096125aac817dbb9d34069860db91023060f7a0
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,3,stochastic,30,27.08796296431743,177.36666666666667,0.9666666666666667,db780bf4eed0c68535a8a8096096125aac817dbb9d34069860db91023060f7a0
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,1,deterministic,30,0.22712875571894003,29.033333333333335,0.2,71f2757b21444b89a1ee3ac0b9baaa70739fa0140f77746b5164e4a032d574b3
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,1,stochastic,30,-0.1821560503471316,42.63333333333333,0.3333333333333333,71f2757b21444b89a1ee3ac0b9baaa70739fa0140f77746b5164e4a032d574b3
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,2,deterministic,30,-0.07031639417099496,50.166666666666664,0.43333333333333335,0dc972ac0bc6c20116ecea72a7ed02ac3d206406bffbf207ed2ef524b1b65d5b
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,2,stochastic,30,0.5528586703406432,27.466666666666665,0.16666666666666666,0dc972ac0bc6c20116ecea72a7ed02ac3d206406bffbf207ed2ef524b1b65d5b
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,3,deterministic,30,-0.7497991209872495,33.266666666666666,0.26666666666666666,3c80bcb17f383d1529e3b0b45a8f940a0911ca82faaa8ed146d0b65810dda7cf
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,3,stochastic,30,-0.01758054570056955,17.4,0.06666666666666667,3c80bcb17f383d1529e3b0b45a8f940a0911ca82faaa8ed146d0b65810dda7cf
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,1,deterministic,30,10.172743187533728,119.0,0.7333333333333333,e487c6911f073f6411e8fd9cd065101eaff59bd36ff989e2cd1077f209519967
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,1,stochastic,30,9.26607656199133,99.43333333333334,0.7,e487c6911f073f6411e8fd9cd065101eaff59bd36ff989e2cd1077f209519967
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,2,deterministic,30,10.136170140430282,61.2,0.7333333333333333,3f4432e8a4369ac877900be61b8eea70e64e16ea45a6223d19bf1d677bd0da1d
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,2,stochastic,30,9.655040250086907,72.3,0.6333333333333333,3f4432e8a4369ac877900be61b8eea70e64e16ea45a6223d19bf1d677bd0da1d
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,3,deterministic,30,10.854579676105445,86.56666666666666,0.7333333333333333,4cbc897bfb22a0ceafe45cac18b9dfa3c570360113db285629dc424aed5d64c1
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,3,stochastic,30,9.086117730392047,73.96666666666667,0.6333333333333333,4cbc897bfb22a0ceafe45cac18b9dfa3c570360113db285629dc424aed5d64c1
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps0.1,1,deterministic,30,4.989130391547174,36.93333333333333,0.3,fc62842e4ea42d1f9543da2d83a16276c597daa06e60a3014be08957c31faa6d
