task,algo,budget,steps,n,min_epochs,train_R,train_R_se,train_C,train_C_se,cumviol,eval_R,eval_R_se,eval_C,eval_C_se,n_eval,feasible_seeds,seeds,seed_rule
SafetyAntVelocity-v1,cpo,25.0,2000000,5,100,2373.7035352868857,29.75502726883438,22.858341904761904,1.7250437492571733,227.05140204418922,2619.3518053953203,54.133710354338,4.773333333333333,3.6618665550053384,5,5/5,0;1;2;3;4,earliest_complete_attempt
SafetyAntVelocity-v1,cpo,25.0,10000000,3,500,2964.045134917849,144.33676361088192,19.919346608946608,1.1746014241955332,1049.8831692815932,2996.956526511094,157.1447098443848,7.411111111111111,2.717933129020499,3,3/3,0;1;2,earliest_complete_attempt
SafetyAntVelocity-v1,focops,25.0,2000000,3,100,497.41202938031375,26.415187095640977,30.411300744384278,4.581269944842867,65.71638236442648,2328.9413497590317,100.66659185008804,175.89999999999998,48.923829685656365,3,0/3,0;1;2,earliest_complete_attempt
SafetyAntVelocity-v1,ppo_lag,25.0,2000000,3,100,712.1138358920451,69.95234482464889,16.098650180812534,2.8653682316852715,1.055757575757576,1748.9135333958068,155.71813824740713,49.37777777777777,14.74273623195295,3,1/3,0;1;2,earliest_complete_attempt
SafetyAntVelocity-v1,trpo_lag,25.0,2000000,5,100,2765.8903129018227,27.12806545071035,27.486179047619043,3.1502924424378715,2055.05439600292,2908.936588378621,37.54462485758089,10.2,2.5076992554043542,5,5/5,0;1;2;3;4,earliest_complete_attempt
SafetyAntVelocity-v1,trpo_lag,25.0,10000000,3,500,3138.030065556822,57.00369395341661,29.62331904761905,9.855155645065077,3024.2468515044056,3187.9713453730674,54.6476792587589,16.7,7.806004336643922,3,2/3,0;1;2,earliest_complete_attempt
SafetyAntVelocity-v1,trpo_sotd_eps1_cap0.1,25.0,2000000,5,100,2822.7953523638503,37.268740889308894,28.520765714285716,2.281350966071522,1529.6887103686179,2966.571753854226,25.680307493243394,14.273333333333335,1.9110322981165033,5,5/5,0;1;2;3;4,earliest_complete_attempt
SafetyAntVelocity-v1,trpo_sotd_eps1_cap0.25,25.0,2000000,3,100,2795.344184455271,36.61915067387546,25.989149206349207,1.625227619186708,823.3785610447525,2953.7767175564863,33.86237352963226,17.233333333333334,6.438426308760032,3,2/3,0;1;2,earliest_complete_attempt
SafetyAntVelocity-v1,trpo_sotd_eps1_cap0.5,25.0,2000000,3,100,2815.790965718769,39.182179525690785,29.150750793650797,0.18696371783408536,542.0853245498463,2974.3851719555646,34.885275368710865,13.511111111111111,2.7825070851684006,3,3/3,0;1;2,earliest_complete_attempt
SafetyAntVelocity-v1,trpo_sotd_eps1_cap0.5,25.0,10000000,3,500,3189.265549835765,39.24471641446699,30.171066666666665,2.2596419056213777,1534.1618685613903,3221.048265760724,28.97798282574994,15.822222222222221,8.499724033283393,3,2/3,0;1;2,earliest_complete_attempt
