env,seed,metric,combo,inner_reward,outer_reward,job,cycle,source,accepted,effective_update,selection_flip,acceptance_flip,actual_score,raw_selection,shaped_selection,reward_key,solver_active,solver_accepted,solver_recovery,actor_reward_target,actor_gain,actor_target_return,critic_shaped_return,Jhat,predicted_cost,seconds
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,0,full_PPO,True,True,False,False,"[2.1314003467559814, 3.5338494777679443, 5.548655986785889]","[[2.1314003467559814, 0.0, 0.19113659858703613], [3.5338494777679443, 0.0, 1.169518232345581], [5.548655986785889, 1.0490580797195435, 1.9056885242462158]]","[[2.1314003467559814, 0.0, 0.19113659858703613], [3.5338494777679443, 0.0, 1.169518232345581], [5.548655986785889, 1.0490580797195435, 1.9056885242462158]]",raw,True,True,False,raw,1.57807394586843,3.224186658859253,3.074333667755127,"[1.5594117641448975, 1.6262317895889282]","[2.441122927558964, 3.0300598439641857]",0.6936221122741699
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,1,full_PPO,True,True,False,False,"[5.618382930755615, 6.698660373687744, 7.875162601470947]","[[5.618382930755615, 1.150360345840454, 2.022132158279419], [6.698660373687744, 1.9654217958450317, 3.3411688804626465], [7.875162601470947, 4.241504192352295, 3.0675501823425293]]","[[5.618382930755615, 1.150360345840454, 2.022132158279419], [6.698660373687744, 1.9654217958450317, 3.3411688804626465], [7.875162601470947, 4.241504192352295, 3.0675501823425293]]",raw,True,True,False,raw,1.4701351178950173,4.680874824523926,4.047889709472656,"[2.284193515777588, 2.948697566986084]","[2.990726423531795, 4.386774952577547]",0.44223546981811523
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,2,joint_KL,True,True,False,False,"[7.904262542724609, 8.360395431518555, 7.599959373474121]","[[7.904262542724609, 4.444488048553467, 3.0698299407958984], [8.360395431518555, 5.342527389526367, 3.8136465549468994], [7.599959373474121, 6.049600601196289, 1.9405285120010376]]","[[7.904262542724609, 4.444488048553467, 3.0698299407958984], [8.360395431518555, 5.342527389526367, 3.8136465549468994], [7.558281898498535, 6.049600601196289, 1.9405285120010376]]",raw,True,True,False,raw,0.7336638419527114,6.959209442138672,5.112235069274902,"[4.29714298248291, 4.123237609863281]","[4.802838819201796, 4.8489685066064645]",0.3944997787475586
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,3,old,True,False,False,False,"[8.437740325927734, 9.235678672790527, 7.640172481536865]","[[8.437740325927734, 5.287437438964844, 3.8560733795166016], [9.235678672790527, 6.1650495529174805, 5.037529468536377], [7.640172481536865, 4.901705265045166, 2.4827804565429688]]","[[8.437740325927734, 5.287437438964844, 3.8560733795166016], [9.053592681884766, 6.1650495529174805, 5.037529468536377], [7.640172481536865, 4.901705265045166, 2.4827804565429688]]",raw,True,True,False,raw,0.8614417264734578,6.774983882904053,4.708712577819824,"[4.751657962799072, 3.633235454559326]","[5.279479314943587, 4.94881129543692]",0.4283173084259033
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,4,full_PPO,True,True,False,False,"[8.37458324432373, 8.758342742919922, 8.868101119995117]","[[8.37458324432373, 5.25484561920166, 3.8025834560394287], [8.758342742919922, 6.073588848114014, 4.253000736236572], [8.868101119995117, 4.898122787475586, 5.31489896774292]]","[[8.37458324432373, 5.25484561920166, 3.8025834560394287], [8.643409729003906, 6.073588848114014, 4.253000736236572], [8.868101119995117, 4.898122787475586, 5.31489896774292]]",raw,True,True,False,raw,0.9465595383379787,7.19119930267334,6.235495567321777,"[4.814908027648926, 3.9323456287384033]","[5.875132153571819, 4.517422726925307]",0.4202587604522705
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,5,joint_KL,True,True,False,False,"[8.931562423706055, 9.11448860168457, 8.590104103088379]","[[8.931562423706055, 4.863943099975586, 5.3738555908203125], [9.11448860168457, 5.239334583282471, 5.487246990203857], [8.590104103088379, 5.564264297485352, 4.106980800628662]]","[[8.931562423706055, 4.863943099975586, 5.3738555908203125], [9.11448860168457, 5.239334583282471, 5.487246990203857], [8.590104103088379, 5.564264297485352, 4.106980800628662]]",raw,True,True,False,raw,0.6637270264078339,7.736767768859863,6.236229419708252,"[4.899538993835449, 5.459930896759033]","[5.532290566970541, 5.626449975400648]",0.4196662902832031
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,6,joint_KL,True,True,False,False,"[9.062065124511719, 9.29668140411377, 8.497206687927246]","[[9.062065124511719, 5.344557285308838, 5.377368927001953], [9.29668140411377, 5.815634250640869, 5.454437255859375], [8.497206687927246, 5.839854717254639, 3.971602439880371]]","[[9.062065124511719, 5.344557285308838, 5.377368927001953], [9.29668140411377, 5.815634250640869, 5.454437255859375], [8.497206687927246, 5.839854717254639, 3.971602439880371]]",raw,True,True,False,raw,0.7356995275939612,7.470458984375,6.03506326675415,"[4.454282760620117, 5.434600830078125]","[5.463142042834232, 5.999999863894988]",0.4256150722503662
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,7,old,True,False,False,False,"[9.332533836364746, 9.749671936035156, 8.41222095489502]","[[9.332533836364746, 5.8215131759643555, 5.547057151794434], [9.749671936035156, 6.64768123626709, 6.157099723815918], [8.41222095489502, 5.882072448730469, 3.5152361392974854]]","[[9.332533836364746, 5.8215131759643555, 5.547057151794434], [8.850687980651855, 6.64768123626709, 6.157099723815918], [8.41222095489502, 5.882072448730469, 3.5152361392974854]]",raw,True,True,False,raw,0.5442185837062995,7.166508674621582,5.163478851318359,"[4.679139137268066, 4.589844226837158]","[5.927115118587531, 5.4408747638946675]",0.4048123359680176
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,8,old,True,False,False,False,"[9.27713394165039, 9.629679679870605, 8.359668731689453]","[[9.27713394165039, 5.683107376098633, 5.529839992523193], [9.629679679870605, 6.534368515014648, 5.658031940460205], [8.359668731689453, 5.154882431030273, 3.7704129219055176]]","[[9.27713394165039, 5.683107376098633, 5.529839992523193], [9.033145904541016, 6.534368515014648, 5.658031940460205], [8.359668731689453, 5.154882431030273, 3.7704129219055176]]",raw,True,True,False,raw,0.5873830889750111,7.5341033935546875,6.224155902862549,"[4.906558036804199, 4.592716693878174]","[5.685113335268494, 4.717623860714493]",0.4486987590789795
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,9,full_PPO,False,False,False,False,"[9.293103218078613, 9.43338680267334, 8.292078971862793]","[[9.293103218078613, 5.819711685180664, 5.593699932098389], [9.43338680267334, 6.555449485778809, 5.61903190612793], [8.292078971862793, 4.9525675773620605, 3.9628915786743164]]","[[9.292394638061523, 5.819711685180664, 5.593699932098389], [8.82291030883789, 6.555449485778809, 5.61903190612793], [8.292078971862793, 4.9525675773620605, 3.9628915786743164]]",raw,True,True,False,raw,0.49462363640915896,7.943235874176025,6.2079925537109375,"[5.667994499206543, 5.2624077796936035]","[6.000000064827807, 5.651000610007288]",0.41803908348083496
