env,metric,seed,endpoint,inner_effect,outer_effect,interaction
DiagReachK2,KL,180,reward,0.06812013536344708,0.0,0.0
DiagReachK2,KL,180,success,0.0,0.0,0.0
DiagReachK2,KL,180,joint,-0.03525641025641024,0.0,0.0
DiagReachK2,KL,180,any_event,0.035256410256410256,0.0,0.0
DiagReachK2,KL,180,installs,1.0,0.0,0
DiagReachK2,KL,180,middle_selected,1.0,0.0,0
DiagReachK2,KL,180,middle_installed,1.0,0.0,0
DiagReachK2,KL,180,cost_mean,"[0.6478363795158195, -0.0749005721165581]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,KL,180,event,"[0.035256410256410256, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,KL,180,excess,"[0.0002693801354139279, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,KL,186,reward,-0.196115620718178,0.0,0.0
DiagReachK2,KL,186,success,0.0,0.0,0.0
DiagReachK2,KL,186,joint,-0.04487179487179482,0.0,0.0
DiagReachK2,KL,186,any_event,0.04487179487179487,0.0,0.0
DiagReachK2,KL,186,installs,-1.0,0.0,0
DiagReachK2,KL,186,middle_selected,-3.0,0.0,0
DiagReachK2,KL,186,middle_installed,-3.0,0.0,0
DiagReachK2,KL,186,cost_mean,"[0.43164983315345573, 0.12235124905904105]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,KL,186,event,"[0.04487179487179487, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,KL,186,excess,"[0.0003047588034572755, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,KL,187,reward,-0.09089379972632372,0.0,0.0
DiagReachK2,KL,187,success,0.0,0.0,0.0
DiagReachK2,KL,187,joint,-0.0064102564102563875,0.0,0.0
DiagReachK2,KL,187,any_event,0.00641025641025641,0.0,0.0
DiagReachK2,KL,187,installs,-5.0,0.0,0
DiagReachK2,KL,187,middle_selected,-4.0,0.0,0
DiagReachK2,KL,187,middle_installed,-4.0,0.0,0
