env,metric,seed,kernel,raw_reward,shaped_reward,penalty,any_event,success,joint,cost_mean,event,excess
DiagReachK2,KL,180,sample,0.44017713846354845,-0.8063019942148113,1.2464791326783597,0.1875,0.0390625,-0.078125,"[0.7083099752198905, 0.7473212766926736]","[0.1015625, 0.171875]","[0.040392809237043054, 0.04509055055677891]"
DiagReachK2,KL,180,det,0.4543510888581288,0.19051385986331226,0.26383722899481654,0.78125,0.0,-0.78125,"[1.2272840552031994, 1.0598682090640068]","[0.78125, 0.296875]","[0.047528244554996504, 0.004157968486348787]"
DiagReachK2,KL,186,sample,0.2632250580429165,-0.5039559035138153,0.7671809615567327,0.0859375,0.015625,-0.046875,"[0.291394782718271, 0.5020890291780233]","[0.046875, 0.109375]","[0.020986660694082587, 0.02965815799931685]"
DiagReachK2,KL,186,det,0.2625357140092106,0.12757809499780848,0.13495761901140213,0.5,0.0,-0.5,"[0.5339482091367245, 0.9351421352475882]","[0.40625, 0.5]","[0.006796389197309816, 0.019707210361957543]"
DiagReachK2,KL,187,sample,0.38170298528179103,-0.7096107353989822,1.0913137206807733,0.171875,0.03125,-0.046875,"[0.8132428221870214, 0.2599807807710022]","[0.1171875, 0.078125]","[0.05278030658761659, 0.013766000047326081]"
DiagReachK2,KL,187,det,0.21325258835823924,-0.00989101296617001,0.22314360132440925,0.5,0.0,-0.5,"[1.2822481263428926, 0.4987468756735325]","[0.453125, 0.4765625]","[0.023101097593704864, 0.014355094482501354]"
DiagReachK2,W2,180,sample,0.4379663239970908,-0.7813231557801261,1.219289479777217,0.1796875,0.0390625,-0.078125,"[0.7088842166122049, 0.7223047972656786]","[0.1015625, 0.15625]","[0.040189376100897775, 0.043703754742940255]"
DiagReachK2,W2,180,det,0.44500726194564955,0.19631965005283014,0.2486876118928194,0.796875,0.0,-0.796875,"[1.2169377598911524, 0.9890178255736828]","[0.796875, 0.140625]","[0.04711808512608212, 0.0015395600348711014]"
DiagReachK2,W2,186,sample,0.3173197675034096,-0.5396203513253788,0.8569401188287884,0.1015625,0.0078125,-0.0703125,"[0.3092082063667476, 0.6342680817469954]","[0.046875, 0.125]","[0.0215935253848632, 0.03570373045901458]"
DiagReachK2,W2,186,det,0.32494726671475327,0.08666293310570872,0.23828433360904455,0.5,0.0,-0.5,"[0.5167213641107082, 1.1588584911078215]","[0.4765625, 0.5]","[0.016942907124757767, 0.02829098763565223]"
