env,metric,seed,optimism_raw_delta,optimism_raw_delta_lo,optimism_raw_delta_hi,sample_raw_delta,sample_raw_delta_lo,sample_raw_delta_hi,det_raw_delta,det_raw_delta_lo,det_raw_delta_hi,sample_shaped_delta,sample_shaped_delta_lo,sample_shaped_delta_hi,det_shaped_delta,det_shaped_delta_lo,det_shaped_delta_hi
DiagReachK2,KL,180,0.06941737507140935,0.01700082371107785,0.11983389661850583,0.44017713846354817,0.38976061691645164,0.4925936898238796,0.45435108885812914,0.44545044665938754,0.46521187385897017,-0.8063019942148116,-1.1472890934472237,-0.4652896966880259,0.19051385986331262,0.16197625230046422,0.215916842924898
DiagReachK2,W2,180,0.07006148564863389,0.017391312496331007,0.11955397922864393,0.43796632399709096,0.3884738304170809,0.4906364971493938,0.4450072619456475,0.4359572035195285,0.45603568887278906,-0.781323155780126,-1.1060301428922454,-0.4460981593758997,0.1963196500528281,0.16986348163554785,0.22170299878421235
DiagReachK2,KL,186,0.26478911981657877,0.22839994536027416,0.3007496629843405,0.2632250580429171,0.2272645148751554,0.29961423249922176,0.2625357140092093,0.259023903369614,0.265899519635634,-0.5039559035138156,-0.7031227595456062,-0.3141509370793592,0.12757809499780715,0.10998916221687544,0.14390179969700964
DiagReachK2,W2,186,0.27371360635335584,0.23089121205918964,0.3139044974123988,0.3173197675034089,0.27712887644436596,0.36014216179757513,0.3249472667147528,0.3205365282412368,0.32958225252157025,-0.5396203513253794,-0.7712775409377103,-0.3269953879622726,0.08666293310570829,0.062469304896294396,0.10756829440493423
DiagReachK2,KL,187,0.46665217913239465,0.42709663808163606,0.5067468771034236,0.38170298528179103,0.34160828731076215,0.4212585263325495,0.21325258835823913,0.2093333195013496,0.21726300882293173,-0.7096107353989821,-0.9931336589139199,-0.43573922872013165,-0.009891012966170162,-0.03617462742766154,0.015174199635823192
DiagReachK2,W2,187,0.43366469566712756,0.3965317291147136,0.4699842067243351,0.32463565907514536,0.2883161480179378,0.36176862562755924,0.15835945216163066,0.1544647399399366,0.1622698128923304,-0.723161845504503,-1.003565063821292,-0.46000703965633816,-0.08778514385999177,-0.11622956801430237,-0.06287955494683907
DiagReachK3,KL,180,0.49863157132784885,0.46556815262718787,0.5366289758380126,0.18168226957343442,0.14368486506327074,0.21474568827409535,0.2339343752252491,0.22661581086041005,0.24161243090737083,-0.4218747149964429,-0.6598155115035108,-0.1997364489160849,0.15531814913326816,0.14001140511388063,0.17014578180823972
DiagReachK3,W2,180,0.4620257037120383,0.42907726094564086,0.4986985401099457,0.20270216676854036,0.16602933037063292,0.23565060953493788,0.2538020215709479,0.2480772832629028,0.26001694362871064,-0.443296833639215,-0.6969091634568405,-0.21825021848202777,0.17593378021985007,0.16212014837602662,0.18926105397139129
DiagReachK3,KL,186,0.16029930067819337,0.13588905914841906,0.1814917666962758,0.20320929953497857,0.18201683351689613,0.22761954106475285,0.21236270670970048,0.20429115037296988,0.2206921274541751,-0.46056402713390976,-0.642534272655887,-0.3000347802439445,-0.17563102529193197,-0.20888577946431086,-0.142640475909049
DiagReachK3,W2,186,0.16780918470024092,0.13969618965543684,0.19434720335916503,0.2729979054793289,0.2464598868204048,0.30111090052413303,0.22738011891578952,0.21907280159537104,0.23628841621594585,-0.6034056816924789,-0.8428494776388288,-0.3927748363151342,-0.2852289065476723,-0.3224705402451968,-0.2490117434149726
DiagReachK3,KL,187,0.49978527407642825,0.4520684449684726,0.5455253353032787,0.5261789736800323,0.48043891245318177,0.5738958027879879,0.6038992672391028,0.5992263162774996,0.6090960940304375,-0.798478423664676,-1.1384269718708402,-0.4969483667825457,-0.43867561666520527,-0.49160919637537526,-0.3911629729439488
DiagReachK3,W2,187,0.4455749574940877,0.4060025329445453,0.4831455172710124,0.44769271083934836,0.41012215106242367,0.48726513538889077,0.456476359701628,0.4524368310612039,0.46113596813187496,-0.7190972213371223,-1.0241171209584237,-0.43962179371364196,-0.1526418290297445,-0.193290644291574,-0.11737621309672272
