env,seed,metric,combo,inner_reward,outer_reward,job,reward,success,joint,any_event,cost_mean,event,excess,counterfactual_shaped_reward,penalty,gradient_steps,selection_steps,acceptance_steps,actual_steps,PPO_optimizer_steps,installs,middle_selected,middle_installed,selection_reward_flips,acceptance_reward_flips,wall_seconds_training_finaleval
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,9.326186906726349,1.0,0.9647435897435898,0.035256410256410256,"[5.78119975175613, 5.569073357643226]","[0.035256410256410256, 0.0]","[0.0002693801354139279, 0.0]",9.32484000604928,0.0013469006770696396,6000,3600,2400,12000,320,6,4,3,0,0,35.65052533149719
DiagReachK2,180,KL,RS,raw,shaped,development_DiagReachK2_s180_KL_RS,9.326186906726349,1.0,0.9647435897435898,0.035256410256410256,"[5.78119975175613, 5.569073357643226]","[0.035256410256410256, 0.0]","[0.0002693801354139279, 0.0]",9.32484000604928,0.0013469006770696396,6000,3600,2400,12000,320,6,4,3,0,0,31.483190536499023
DiagReachK2,180,KL,SR,shaped,raw,development_DiagReachK2_s180_KL_SR,9.258066771362902,1.0,1.0,0.0,"[5.133363372240311, 5.643973929759784]","[0.0, 0.0]","[0.0, 0.0]",9.258066771362902,0.0,6000,3600,2400,12000,328,5,3,2,0,0,40.6384642124176
DiagReachK2,180,KL,SS,shaped,shaped,development_DiagReachK2_s180_KL_SS,9.258066771362902,1.0,1.0,0.0,"[5.133363372240311, 5.643973929759784]","[0.0, 0.0]","[0.0, 0.0]",9.258066771362902,0.0,6000,3600,2400,12000,328,5,3,2,0,0,33.23584604263306
DiagReachK2,180,W2,RR,raw,raw,development_DiagReachK2_s180_W2_RR,9.284244148584316,1.0,0.9935897435897436,0.00641025641025641,"[5.717896064122518, 5.542125781377156]","[0.00641025641025641, 0.0]","[3.2116205264360477e-05, 0.0]",9.284083567557994,0.00016058102632180238,6000,3600,2400,12000,324,10,6,5,0,0,36.80027937889099
DiagReachK2,180,W2,RS,raw,shaped,development_DiagReachK2_s180_W2_RS,9.284244148584316,1.0,0.9935897435897436,0.00641025641025641,"[5.717896064122518, 5.542125781377156]","[0.00641025641025641, 0.0]","[3.2116205264360477e-05, 0.0]",9.284083567557994,0.00016058102632180238,6000,3600,2400,12000,324,10,6,5,0,0,31.501492500305176
DiagReachK2,180,W2,SR,shaped,raw,development_DiagReachK2_s180_W2_SR,9.270042716731686,1.0,1.0,0.0,"[5.57439017143005, 5.24321849988057]","[0.0, 0.0]","[0.0, 0.0]",9.270042716731686,0.0,6000,3600,2400,12000,344,6,4,3,0,0,34.12091875076294
DiagReachK2,180,W2,SS,shaped,shaped,development_DiagReachK2_s180_W2_SS,9.270042716731686,1.0,1.0,0.0,"[5.57439017143005, 5.24321849988057]","[0.0, 0.0]","[0.0, 0.0]",9.270042716731686,0.0,6000,3600,2400,12000,344,6,4,3,0,0,33.696372509002686
DiagReachK2,186,KL,RR,raw,raw,development_DiagReachK2_s186_KL_RR,9.106398917610745,1.0,0.9551282051282052,0.04487179487179487,"[5.808067392080258, 5.509406835604937]","[0.04487179487179487, 0.0]","[0.0003047588034572755, 0.0]",9.104875121046252,0.0015237965644934238,6000,3600,2400,12000,364,9,4,3,0,0,33.859684467315674
DiagReachK2,186,KL,RS,raw,shaped,development_DiagReachK2_s186_KL_RS,9.106398917610745,1.0,0.9551282051282052,0.04487179487179487,"[5.808067392080258, 5.509406835604937]","[0.04487179487179487, 0.0]","[0.0003047588034572755, 0.0]",9.104875121046252,0.0015237965644934238,6000,3600,2400,12000,364,9,4,3,0,0,32.712541341781616
DiagReachK2,186,KL,SR,shaped,raw,development_DiagReachK2_s186_KL_SR,9.302514538328923,1.0,1.0,0.0,"[5.376417558926803, 5.387055586545896]","[0.0, 0.0]","[0.0, 0.0]",9.302514538328923,0.0,6000,3600,2400,12000,276,10,7,6,0,0,58.39112949371338
