env,seed,metric,combo,inner_reward,outer_reward,job,cycle,steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,cost_mean,event,excess
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,0,480,exploration,20,3.2241866626008417,3.0743336416943934,0.14985302090644836,0.1,0.05,"[1.5594119757413865, 1.6262317836284637]","[0.05, 0.05]","[0.0009512583414713505, 0.015306381384531654]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,0,480,selection,12,3.7379686241426193,3.7379686241426193,0.0,0.0,0.0,"[0.34968603650728863, 1.0887811457117398]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,0,480,acceptance,8,4.2181462437147275,4.2181462437147275,0.0,0.0,0.0,"[0.6755631566047668, 1.260714951902628]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,1,960,exploration,20,4.680874697079998,4.047889611831051,0.6329850852489471,0.15,0.1,"[2.2841935262084005, 2.948697417974472]","[0.05, 0.1]","[0.003461587429046631, 0.044056046009063723]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,1,960,selection,12,6.7307353180677945,6.7307353180677945,0.0,0.3333333333333333,0.0,"[2.4524287482102713, 2.8102837602297464]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,1,960,acceptance,8,6.842277829254454,6.842277829254454,0.0,0.5,0.0,"[2.9393168687820435, 2.5165653973817825]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,2,1440,exploration,20,6.959208891924353,5.112235353525611,1.8469735383987427,0.1,0.45,"[4.297142696380615, 4.123238010704517]","[0.3, 0.2]","[0.053297034899393726, 0.07144033511479696]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,2,1440,selection,12,7.954872886475641,7.940980434553542,0.013892451922098795,0.6666666666666666,0.25,"[5.278872052828471, 2.9413349827130637]","[0.25, 0.0]","[0.0027784903844197593, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,2,1440,acceptance,8,8.170329955629132,8.170329955629132,0.0,1.0,0.0,"[4.8136308789253235, 3.57059583067894]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,3,1920,exploration,20,6.774983607020696,4.708712138023693,2.0662714689970016,0.15,0.35,"[4.751658153533936, 3.6332357689738273]","[0.25, 0.15]","[0.05866527954737345, 0.053729462623596194]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,3,1920,selection,12,8.437863741690913,8.377168182904521,0.06069555878639221,0.75,0.25,"[5.45139741897583, 3.792127768198649]","[0.25, 0.0]","[0.012139115068647602, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,3,1920,acceptance,8,8.408744736830704,8.408744736830704,0.0,1.0,0.0,"[5.427733421325684, 3.783596098423004]","[0.0, 0.0]","[0.0, 0.0]"
