job,env,metric,combo,seed,cycle,channel,episodes,events,zero_event,all_event,firsthit_adv_zero,continuous_adv_zero,firsthit_adv_std,continuous_adv_std
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,0,0,20,1,False,False,False,False,0.22941575944423676,1.4737643003463745
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,0,1,20,1,False,False,False,False,0.21964886784553528,1.624749779701233
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,1,0,20,1,False,False,False,False,0.22941577434539795,1.6552553176879883
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,1,1,20,2,False,False,False,False,0.2882750630378723,1.990466594696045
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,2,0,20,6,False,False,False,False,0.47538676857948303,1.705540657043457
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,2,1,20,4,False,False,False,False,0.38616418838500977,1.8763158321380615
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,3,0,20,5,False,False,False,False,0.4395603537559509,1.3493443727493286
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,3,1,20,3,False,False,False,False,0.33287131786346436,1.9549164772033691
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,4,0,20,6,False,False,False,False,0.47050586342811584,1.4515939950942993
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,4,1,20,3,False,False,False,False,0.371229887008667,1.4631483554840088
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,5,0,20,4,False,False,False,False,0.4133059084415436,1.2068861722946167
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,5,1,20,7,False,False,False,False,0.4854769706726074,1.4610912799835205
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,6,0,20,6,False,False,False,False,0.4775668680667877,1.7131046056747437
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,6,1,20,8,False,False,False,False,0.5061942934989929,1.2422149181365967
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,7,0,20,5,False,False,False,False,0.4406093955039978,1.691097617149353
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,7,1,20,5,False,False,False,False,0.428120493888855,1.6708608865737915
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,8,0,20,6,False,False,False,False,0.4685392677783966,1.4059622287750244
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,8,1,20,6,False,False,False,False,0.46582165360450745,1.4454230070114136
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,9,0,20,9,False,False,False,False,0.520361065864563,0.9668925404548645
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,9,1,20,8,False,False,False,False,0.5043668746948242,1.3934826850891113
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,10,0,20,9,False,False,False,False,0.5125389695167542,1.452960729598999
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,10,1,20,6,False,False,False,False,0.4613400995731354,1.6512607336044312
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,11,0,20,6,False,False,False,False,0.4603383243083954,1.8267260789871216
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,11,1,20,4,False,False,False,False,0.4096594452857971,1.5492678880691528
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,12,0,20,7,False,False,False,False,0.49838152527809143,1.5243788957595825
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,12,1,20,5,False,False,False,False,0.44968435168266296,1.7144074440002441
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,13,0,20,6,False,False,False,False,0.4673059582710266,1.4641773700714111
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,13,1,20,10,False,False,False,False,0.5225744247436523,1.4021586179733276
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,14,0,20,10,False,False,False,False,0.5174695253372192,1.4569239616394043
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,14,1,20,1,False,False,False,False,0.22941572964191437,0.9618894457817078
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,15,0,20,9,False,False,False,False,0.5098295211791992,1.670510172843933
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,15,1,20,6,False,False,False,False,0.46358630061149597,1.4610928297042847
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,16,0,20,6,False,False,False,False,0.46582165360450745,1.431544542312622
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,16,1,20,2,False,False,False,False,0.3095136880874634,0.9275195598602295
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,17,0,20,5,False,False,False,False,0.4468521177768707,1.4039974212646484
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,17,1,20,4,False,False,False,False,0.39561304450035095,1.2811808586120605
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,18,0,20,3,False,False,False,False,0.3556690216064453,1.359108567237854
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,18,1,20,6,False,False,False,False,0.460338294506073,1.7275028228759766
