env,seed,anchor,target,metric,channel,old_sample_risk,old_det_risk,predicted_sample_risk,measured_sample_risk,measured_det_risk,predicted_delta,sample_delta,det_delta,proxy_minus_sample,sample_minus_det,proxy_minus_det,outside_probability_range
DiagReachK2,180,1,shaped,KL,0,0.375,0.0,0.24105554538501572,0.21875,0.0,-0.13394445461498428,-0.15625,0.0,0.022305545385015724,-0.15625,-0.13394445461498428,False
DiagReachK2,180,1,shaped,KL,1,0.203125,0.0,0.09588222838450523,0.09375,0.0,-0.10724277161549477,-0.109375,0.0,0.002132228384505233,-0.109375,-0.10724277161549477,False
DiagReachK2,180,1,shaped,KL,any,0.5,0.0,0.32194087203378174,0.3125,0.0,-0.17805912796621828,-0.1875,0.0,0.009440872033781716,-0.1875,-0.17805912796621828,False
DiagReachK2,180,1,shaped,W2,0,0.375,0.0,0.24262822756247038,0.21875,0.0,-0.13237177243752962,-0.15625,0.0,0.023878227562470378,-0.15625,-0.13237177243752962,False
DiagReachK2,180,1,shaped,W2,1,0.203125,0.0,0.09726750973497725,0.109375,0.0,-0.10585749026502275,-0.09375,0.0,-0.012107490265022752,-0.09375,-0.10585749026502275,False
DiagReachK2,180,1,shaped,W2,any,0.5,0.0,0.3253392200771802,0.328125,0.0,-0.17466077992281978,-0.171875,0.0,-0.002785779922819781,-0.171875,-0.17466077992281978,False
DiagReachK2,180,1,raw,KL,0,0.375,0.0,0.4918896187820263,0.40625,0.96875,0.1168896187820263,0.03125,0.96875,0.0856396187820263,-0.9375,-0.8518603812179737,False
DiagReachK2,180,1,raw,KL,1,0.203125,0.0,0.23546994144185077,0.28125,0.359375,0.03234494144185076,0.078125,0.359375,-0.04578005855814924,-0.28125,-0.32703005855814926,False
DiagReachK2,180,1,raw,KL,any,0.5,0.0,0.6335666618148772,0.546875,0.96875,0.13356666181487722,0.046875,0.96875,0.08669166181487722,-0.921875,-0.8351833381851228,False
DiagReachK2,180,1,raw,W2,0,0.375,0.0,0.4952015784211765,0.40625,0.96875,0.12020157842117649,0.03125,0.96875,0.08895157842117649,-0.9375,-0.8485484215788235,False
DiagReachK2,180,1,raw,W2,1,0.203125,0.0,0.22632665852959943,0.25,0.046875,0.02320165852959944,0.046875,0.046875,-0.02367334147040056,0.0,-0.02367334147040056,False
DiagReachK2,180,1,raw,W2,any,0.5,0.0,0.6286989806350167,0.53125,0.96875,0.1286989806350167,0.03125,0.96875,0.0974489806350167,-0.9375,-0.8400510193649833,False
DiagReachK2,180,3,shaped,KL,0,0.359375,0.046875,0.4035577202796844,0.390625,0.359375,0.04418272027968439,0.03125,0.3125,0.012932720279684388,-0.28125,-0.2683172797203156,False
DiagReachK2,180,3,shaped,KL,1,0.28125,0.0,0.24742332684529528,0.21875,0.0,-0.03382667315470471,-0.0625,0.0,0.02867332684529529,-0.0625,-0.03382667315470471,False
DiagReachK2,180,3,shaped,KL,any,0.5,0.046875,0.49272074801550675,0.46875,0.359375,-0.007279251984493267,-0.03125,0.3125,0.023970748015506735,-0.34375,-0.31977925198449325,False
DiagReachK2,180,3,shaped,W2,0,0.359375,0.046875,0.4045443646664924,0.390625,0.328125,0.045169364666492386,0.03125,0.28125,0.013919364666492386,-0.25,-0.23608063533350762,False
DiagReachK2,180,3,shaped,W2,1,0.28125,0.0,0.24364332654085968,0.203125,0.0,-0.037606673459140316,-0.078125,0.0,0.040518326540859684,-0.078125,-0.037606673459140316,False
DiagReachK2,180,3,shaped,W2,any,0.5,0.046875,0.48949470302124604,0.453125,0.328125,-0.010505296978753974,-0.046875,0.28125,0.03636970302124602,-0.328125,-0.29175529697875396,False
DiagReachK2,180,3,raw,KL,0,0.359375,0.046875,0.4243470062536669,0.40625,0.953125,0.06497200625366689,0.046875,0.90625,0.018097006253666892,-0.859375,-0.841277993746333,False
DiagReachK2,180,3,raw,KL,1,0.28125,0.0,0.34695177611171923,0.375,0.234375,0.0657017761117192,0.09375,0.234375,-0.028048223888280793,-0.140625,-0.1686732238882808,False
DiagReachK2,180,3,raw,KL,any,0.5,0.046875,0.5774637569470429,0.609375,0.953125,0.07746375694704291,0.109375,0.90625,-0.03191124305295709,-0.796875,-0.8287862430529571,False
DiagReachK2,180,3,raw,W2,0,0.359375,0.046875,0.4243470062536669,0.40625,0.953125,0.06497200625366689,0.046875,0.90625,0.018097006253666892,-0.859375,-0.841277993746333,False
DiagReachK2,180,3,raw,W2,1,0.28125,0.0,0.34695177611171923,0.375,0.234375,0.0657017761117192,0.09375,0.234375,-0.028048223888280793,-0.140625,-0.1686732238882808,False
DiagReachK2,180,3,raw,W2,any,0.5,0.046875,0.5774637569470429,0.609375,0.953125,0.07746375694704291,0.109375,0.90625,-0.03191124305295709,-0.796875,-0.8287862430529571,False
DiagReachK2,186,6,shaped,KL,0,0.34375,0.0,0.3718483308815886,0.359375,0.0,0.028098330881588595,0.015625,0.0,0.012473330881588595,0.015625,0.028098330881588595,False
DiagReachK2,186,6,shaped,KL,1,0.171875,0.0,0.1019134653973347,0.109375,0.0,-0.0699615346026653,-0.0625,0.0,-0.0074615346026652984,-0.0625,-0.0699615346026653,False
DiagReachK2,186,6,shaped,KL,any,0.421875,0.0,0.4073284440155045,0.40625,0.0,-0.014546555984495486,-0.015625,0.0,0.001078444015504514,-0.015625,-0.014546555984495486,False
DiagReachK2,186,6,shaped,W2,0,0.34375,0.0,0.3763273413504023,0.375,0.0,0.032577341350402314,0.03125,0.0,0.001327341350402314,0.03125,0.032577341350402314,False
DiagReachK2,186,6,shaped,W2,1,0.171875,0.0,0.08314049445766988,0.109375,0.0,-0.08873450554233012,-0.0625,0.0,-0.026234505542330117,-0.0625,-0.08873450554233012,False
DiagReachK2,186,6,shaped,W2,any,0.421875,0.0,0.4006646728806659,0.421875,0.0,-0.02121032711933412,0.0,0.0,-0.02121032711933412,0.0,-0.02121032711933412,False
DiagReachK2,186,6,raw,KL,0,0.34375,0.0,0.4025843804297249,0.390625,0.0,0.05883438042972488,0.046875,0.0,0.01195938042972488,0.046875,0.05883438042972488,False
DiagReachK2,186,6,raw,KL,1,0.171875,0.0,0.21541910074740717,0.15625,0.0,0.04354410074740716,-0.015625,0.0,0.05916910074740716,-0.015625,0.04354410074740716,False
DiagReachK2,186,6,raw,KL,any,0.421875,0.0,0.4828372276746296,0.453125,0.0,0.06096222767462959,0.03125,0.0,0.02971222767462959,0.03125,0.06096222767462959,False
DiagReachK2,186,6,raw,W2,0,0.34375,0.0,0.39632161433850416,0.390625,0.0,0.052571614338504165,0.046875,0.0,0.005696614338504165,0.046875,0.052571614338504165,False
DiagReachK2,186,6,raw,W2,1,0.171875,0.0,0.2230289803883914,0.15625,0.0,0.05115398038839139,-0.015625,0.0,0.06677898038839139,-0.015625,0.05115398038839139,False
DiagReachK2,186,6,raw,W2,any,0.421875,0.0,0.48343418960498874,0.453125,0.0,0.061559189604988754,0.03125,0.0,0.030309189604988754,0.03125,0.061559189604988754,False
DiagReachK2,186,8,shaped,KL,0,0.3125,0.0,0.34935787547062574,0.3125,0.0,0.03685787547062573,0.0,0.0,0.03685787547062573,0.0,0.03685787547062573,False
DiagReachK2,186,8,shaped,KL,1,0.359375,0.046875,0.2958712698077017,0.21875,0.0,-0.06350373019229834,-0.140625,-0.046875,0.07712126980770166,-0.09375,-0.016628730192298338,False
DiagReachK2,186,8,shaped,KL,any,0.5625,0.046875,0.547657484346945,0.484375,0.0,-0.014842515653055085,-0.078125,-0.046875,0.06328248434694492,-0.03125,0.03203248434694492,False
DiagReachK2,186,8,shaped,W2,0,0.3125,0.0,0.34914341370127344,0.3125,0.0,0.036643413701273456,0.0,0.0,0.036643413701273456,0.0,0.036643413701273456,False
DiagReachK2,186,8,shaped,W2,1,0.359375,0.046875,0.277590788466502,0.1875,0.0,-0.08178421153349802,-0.171875,-0.046875,0.09009078846650198,-0.125,-0.03490921153349802,False
DiagReachK2,186,8,shaped,W2,any,0.5625,0.046875,0.535217635684276,0.453125,0.0,-0.027282364315724,-0.109375,-0.046875,0.082092635684276,-0.0625,0.019592635684276,False
DiagReachK2,186,8,raw,KL,0,0.3125,0.0,0.43887260694582736,0.375,0.8125,0.12637260694582736,0.0625,0.8125,0.06387260694582736,-0.75,-0.6861273930541727,False
DiagReachK2,186,8,raw,KL,1,0.359375,0.046875,0.4230508312528738,0.390625,1.0,0.06367583125287378,0.03125,0.953125,0.03242583125287378,-0.921875,-0.8894491687471262,False
DiagReachK2,186,8,raw,KL,any,0.5625,0.046875,0.6897679826127381,0.609375,1.0,0.12726798261273803,0.046875,0.953125,0.08039298261273803,-0.90625,-0.8258570173872619,False
DiagReachK2,186,8,raw,W2,0,0.3125,0.0,0.4586648699751408,0.390625,0.953125,0.14616486997514078,0.078125,0.953125,0.06803986997514078,-0.875,-0.8069601300248592,False
DiagReachK2,186,8,raw,W2,1,0.359375,0.046875,0.4391097370870725,0.390625,1.0,0.0797347370870725,0.03125,0.953125,0.0484847370870725,-0.921875,-0.8733902629129275,False
DiagReachK2,186,8,raw,W2,any,0.5625,0.046875,0.7126157972314816,0.625,1.0,0.15011579723148163,0.0625,0.953125,0.08761579723148163,-0.890625,-0.8030092027685184,False
DiagReachK2,187,11,shaped,KL,0,0.359375,0.015625,0.20697292332134348,0.25,0.0,-0.15240207667865652,-0.109375,-0.015625,-0.04302707667865652,-0.09375,-0.13677707667865652,False
DiagReachK2,187,11,shaped,KL,1,0.28125,0.0,0.27092998932379064,0.203125,0.0,-0.010320010676209366,-0.078125,0.0,0.06780498932379063,-0.078125,-0.010320010676209366,False
DiagReachK2,187,11,shaped,KL,any,0.5625,0.015625,0.4380197133938938,0.390625,0.0,-0.1244802866061062,-0.171875,-0.015625,0.0473947133938938,-0.15625,-0.1088552866061062,False
