epsilon,soft_budget,accepted,reasons,reward,hard_cost,soft_cost,balance_residual,lp_reward_ceiling
0,0,True,[],5.999999999999998,0.0,0.0,0.0,6
0,0.1,True,[],6.199999999999998,0.0,0.09999999999999998,0.0,6.2
0,0.25,True,[],6.499999999999999,0.0,0.24999999999999994,0.0,6.5
0,0.5,True,[],6.999999999999998,0.0,0.4999999999999999,0.0,7.0
0,1,True,[],7.999999999999998,0.0,0.9999999999999998,0.0,8
0.001,0,True,[],5.999999999996679,0.0,0.0,5.533073998975624e-14,6
0.001,0.1,True,[],6.199999999995601,0.0,0.10000000000009711,4.0752589640434285e-13,6.2
0.001,0.25,True,[],6.500000000004716,0.0,0.25000000000027156,6.956935028057387e-14,6.5
0.001,0.5,True,[],7.000000000013209,0.0,0.5000000000011338,1.823818873702976e-13,7.0
0.001,1,True,[],8.000000000008116,0.0,1.0000000000007843,3.9632397491643966e-13,8
0.01,0,True,[],6.0000000000004095,0.0,0.0,1.9333399292298772e-14,6
0.01,0.1,True,[],6.200000000000024,0.0,0.09999999999999053,4.591418130375962e-13,6.2
0.01,0.25,True,[],6.500000000002762,0.0,0.25000000000022715,3.848310559106949e-14,6.5
0.01,0.5,True,[],6.999999999999709,0.0,0.4999999999999792,1.1721033598020664e-14,7.0
0.01,1,True,[],7.99999999591637,0.0,0.9999999979395887,6.198930257994562e-13,8
0.1,0,True,[],6.000000000000036,0.0,0.0,4.432723580601065e-13,6
0.1,0.1,True,[],6.200000000002115,0.0,0.10000000000018593,2.907396545737129e-14,6.2
0.1,0.25,True,[],6.500000000000111,0.0,0.25000000000000067,8.847713255848174e-15,6.5
0.1,0.5,True,[],7.000000000000055,0.0,0.5000000000000058,1.139804253445897e-15,7.0
0.1,1,True,[],7.761594155957412,0.0,0.8807970779779102,2.6548208076349056e-14,8
1,0,True,[],5.999999999999998,0.0,0.0,5.437969325078099e-13,6
1,0.1,True,[],6.200000000000003,0.0,0.09999999999999995,2.704748005589634e-16,6.2
1,0.25,True,[],6.500000000000094,0.0,0.25000000000000466,1.4432899320127035e-15,6.5
1,0.5,True,[],6.999999999999995,0.0,0.4999999999999996,1.1795954481529725e-16,7.0
1,1,True,[],7.09966799462495,0.0,0.5498339973124774,4.965774710219499e-16,8
